Study ID,PMID,Graft Type,Title,,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Link
Zhang (2024),39694948,HT,Efficacy and safety of quadriceps tendon autograft versus bone-patellar tendon-bone and hamstring tendon autografts for anterior cruciate ligament reconstruction: a systematic review and meta-analysis,Zhang (2024),"Zhang XF, Liu P, Huang JW, He YH.",J Orthop Traumatol. 2024 Dec 18;25(1):65. doi: 10.1186/s10195-024-00801-2.,Zhang XF,J Orthop Traumatol,2024,12/18/2024,PMC11656020,,10.1186/s10195-024-00801-2,Zhang (2024)
Zhang (2024),39694948,BPTB,Efficacy and safety of quadriceps tendon autograft versus bone-patellar tendon-bone and hamstring tendon autografts for anterior cruciate ligament reconstruction: a systematic review and meta-analysis,Zhang (2024),"Zhang XF, Liu P, Huang JW, He YH.",J Orthop Traumatol. 2024 Dec 18;25(1):65. doi: 10.1186/s10195-024-00801-2.,Zhang XF,J Orthop Traumatol,2024,12/18/2024,PMC11656020,,10.1186/s10195-024-00801-2,Zhang (2024)
Lin (2024),39678440,QT,Effects of Low-Load Blood Flow Restriction Training on Muscle Volume After Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis,Lin (2024),"Lin Q, Zhang Y, Qin J, Wu F.",Orthop J Sports Med. 2024 Dec 13;12(12):23259671241301731. doi: 10.1177/23259671241301731. eCollection 2024 Dec.,Lin Q,Orthop J Sports Med,2024,12/16/2024,PMC11645764,,10.1177/23259671241301731,Lin (2024)
Sun (2025),39666599,HT,Anterior cruciate ligament reconstruction with six and eight-strand hamstring tendon autografts produces adequate graft dimensions and functional outcomes: A systematic review,Sun (2025),"Sun B, Lee B, Grad J, Cohen D, Abouali J, Tapasvi S, Maniar A, de Sa D.",Knee Surg Sports Traumatol Arthrosc. 2025 Jun;33(6):2144-2155. doi: 10.1002/ksa.12556. Epub 2024 Dec 12.,Sun B,Knee Surg Sports Traumatol Arthrosc,2025,12/12/2024,PMC12104794,,10.1002/ksa.12556,Sun (2025)
Annamalai (2024),39650719,HT,Functional outcome of anterior cruciate ligament reconstruction with hamstring tendon autograft in Indian population: A systematic review and meta-analysis,Annamalai (2024),"Annamalai R, Venkatramanaiah C, Sujhithra A, Vignesh N, Danis Vijay D.",J Clin Orthop Trauma. 2024 Nov 12;59:102805. doi: 10.1016/j.jcot.2024.102805. eCollection 2024 Dec.,Annamalai R,J Clin Orthop Trauma,2024,12/9/2024,PMC11617687,,10.1016/j.jcot.2024.102805,Annamalai (2024)
Fan (2024),39609872,HT,Comparison of clinical outcomes between hamstring tendon autografts and hybrid grafts in ACL reconstruction: a systematic review and meta-analysis,Fan (2024),"Fan L, Zhang L, Tang J, Xu Z, Fu W.",J Orthop Surg Res. 2024 Nov 29;19(1):809. doi: 10.1186/s13018-024-05310-w.,Fan L,J Orthop Surg Res,2024,11/28/2024,PMC11606057,,10.1186/s13018-024-05310-w,Fan (2024)
Kodama (2025),39565551,QT,Return to Sport Following Anterior Cruciate Ligament Reconstruction: A Scoping Review of Criteria Determining Return to Sport Readiness,Kodama (2025),"Kodama E, Tartibi S, Brophy RH, Smith MV, Matava MJ, Knapik DM.",Curr Rev Musculoskelet Med. 2025 Jan;18(1):1-5. doi: 10.1007/s12178-024-09934-7. Epub 2024 Nov 20.,Kodama E,Curr Rev Musculoskelet Med,2025,11/20/2024,PMC11732813,,10.1007/s12178-024-09934-7,Kodama (2025)
Zhao (2024),39523327,HT,Hamstring tendon graft with LARS augmentation showed superior short-term clinical efficacy compared to hamstring tendon alone as graft in ACL reconstruction: a systematic review and meta-analysis,Zhao (2024),"Zhao T, Zhang K, Li J, Fu W.",J Orthop Surg Res. 2024 Nov 10;19(1):742. doi: 10.1186/s13018-024-05234-5.,Zhao T,J Orthop Surg Res,2024,11/10/2024,PMC11552366,,10.1186/s13018-024-05234-5,Zhao (2024)
Zhou (2025),39474850,QT,Comparison of blood flow restriction training rehabilitation and general rehabilitation exercise after anterior cruciate ligament reconstruction: A meta-analysis of randomized controlled trials,Zhou (2025),"Zhou L, Rothrauff B, Chen L, Jin S, He S, He J.",Knee Surg Sports Traumatol Arthrosc. 2025 Aug;33(8):2713-2728. doi: 10.1002/ksa.12527. Epub 2024 Oct 30.,Zhou L,Knee Surg Sports Traumatol Arthrosc,2025,10/30/2024,,,10.1002/ksa.12527,Zhou (2025)
Fortier (2024),39212690,BPTB,Patellar tendon restoration techniques: a systematic review of outcomes for repair and reconstruction methods,Fortier (2024),"Fortier LM, Adelstein JM, Sinkler MA, Moyal AJ, Burkhart RJ, Vakharia AM, Dasari SP, Chahla J.",Eur J Orthop Surg Traumatol. 2024 Dec;34(8):3827-3845. doi: 10.1007/s00590-024-04078-3. Epub 2024 Aug 30.,Fortier LM,Eur J Orthop Surg Traumatol,2024,8/30/2024,,,10.1007/s00590-024-04078-3,Fortier (2024)
Malesa (2025),39126286,HT,The effectiveness of quadrupled semitendinosus graft technique in anterior cruciate ligament reconstruction: A network meta-analysis assessing various graft preparation techniques,Malesa (2025),"Malesa K, Tram? E, Kuli?ski K, Kami?ski R.",Knee Surg Sports Traumatol Arthrosc. 2025 Mar;33(3):907-925. doi: 10.1002/ksa.12421. Epub 2024 Aug 10.,Malesa K,Knee Surg Sports Traumatol Arthrosc,2025,8/10/2024,,,10.1002/ksa.12421,Malesa (2025)
Raj (2024),39043018,QT,Quadriceps tendon versus hamstring tendon graft for primary anterior cruciate ligament reconstruction: A systematic review and meta-analysis of randomised trials,Raj (2024),"Raj S, Ridha A, Searle HKC, Khatri C, Ahmed I, Metcalfe A, Smith N.",Knee. 2024 Aug;49:226-240. doi: 10.1016/j.knee.2024.07.002. Epub 2024 Jul 22.,Raj S,Knee,2024,7/23/2024,,,10.1016/j.knee.2024.07.002,Raj (2024)
Raj (2024),39043018,HT,Quadriceps tendon versus hamstring tendon graft for primary anterior cruciate ligament reconstruction: A systematic review and meta-analysis of randomised trials,Raj (2024),"Raj S, Ridha A, Searle HKC, Khatri C, Ahmed I, Metcalfe A, Smith N.",Knee. 2024 Aug;49:226-240. doi: 10.1016/j.knee.2024.07.002. Epub 2024 Jul 22.,Raj S,Knee,2024,7/23/2024,,,10.1016/j.knee.2024.07.002,Raj (2024)
Raj (2024),39043018,BPTB,Quadriceps tendon versus hamstring tendon graft for primary anterior cruciate ligament reconstruction: A systematic review and meta-analysis of randomised trials,Raj (2024),"Raj S, Ridha A, Searle HKC, Khatri C, Ahmed I, Metcalfe A, Smith N.",Knee. 2024 Aug;49:226-240. doi: 10.1016/j.knee.2024.07.002. Epub 2024 Jul 22.,Raj S,Knee,2024,7/23/2024,,,10.1016/j.knee.2024.07.002,Raj (2024)
Khalefa (2025),39019692,QT,No increased complication rate with the use of soft tissue quadriceps tendon autograft for primary ACL reconstruction - a systematic review,Khalefa (2025),"Khalefa MA, Aujla RS, Aslam N, Boutefnouchet T, D'Alessandro P, MacDonald PB, Malik SS.",Orthop Traumatol Surg Res. 2025 Apr;111(2):103926. doi: 10.1016/j.otsr.2024.103926. Epub 2024 Jul 17.,Khalefa MA,Orthop Traumatol Surg Res,2025,7/17/2024,,,10.1016/j.otsr.2024.103926,Khalefa (2025)
Khalefa (2025),39019692,HT,No increased complication rate with the use of soft tissue quadriceps tendon autograft for primary ACL reconstruction - a systematic review,Khalefa (2025),"Khalefa MA, Aujla RS, Aslam N, Boutefnouchet T, D'Alessandro P, MacDonald PB, Malik SS.",Orthop Traumatol Surg Res. 2025 Apr;111(2):103926. doi: 10.1016/j.otsr.2024.103926. Epub 2024 Jul 17.,Khalefa MA,Orthop Traumatol Surg Res,2025,7/17/2024,,,10.1016/j.otsr.2024.103926,Khalefa (2025)
Khalefa (2025),39019692,BPTB,No increased complication rate with the use of soft tissue quadriceps tendon autograft for primary ACL reconstruction - a systematic review,Khalefa (2025),"Khalefa MA, Aujla RS, Aslam N, Boutefnouchet T, D'Alessandro P, MacDonald PB, Malik SS.",Orthop Traumatol Surg Res. 2025 Apr;111(2):103926. doi: 10.1016/j.otsr.2024.103926. Epub 2024 Jul 17.,Khalefa MA,Orthop Traumatol Surg Res,2025,7/17/2024,,,10.1016/j.otsr.2024.103926,Khalefa (2025)
Bouju (2024),38903025,HT,Return to sports after anterior cruciate ligament surgery with hamstring or patella tendon autograft - a systematic review,Bouju (2024),"Bouju S, Lauritzen JB, Journé A, Jørgensen HL.",Dan Med J. 2024 Jun 19;71(7):A09230599. doi: 10.61409/A09230599.,Bouju S,Dan Med J,2024,6/21/2024,,,10.61409/A09230599,Bouju (2024)
Park (2024),38755499,PLT,Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction: a comprehensive systematic review and meta analysis,Park (2024),"Park JY, Fernandes A, Park SY, Lim H, Sayudo IF, Leibovitch L, Machinski E, Ha J.",Eur J Orthop Surg Traumatol. 2024 Jul;34(5):2691-2699. doi: 10.1007/s00590-024-03984-w. Epub 2024 May 16.,Park JY,Eur J Orthop Surg Traumatol,2024,5/16/2024,PMC11291530,,10.1007/s00590-024-03984-w,Park (2024)
Park (2024),38755499,HT,Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction: a comprehensive systematic review and meta analysis,Park (2024),"Park JY, Fernandes A, Park SY, Lim H, Sayudo IF, Leibovitch L, Machinski E, Ha J.",Eur J Orthop Surg Traumatol. 2024 Jul;34(5):2691-2699. doi: 10.1007/s00590-024-03984-w. Epub 2024 May 16.,Park JY,Eur J Orthop Surg Traumatol,2024,5/16/2024,PMC11291530,,10.1007/s00590-024-03984-w,Park (2024)
Petersen (2024),38587546,BPTB,[Subtuberosity anterior closing wedge osteotomy to correct the increased posterior slope of the tibial plateau],Petersen (2024),"Petersen W, Al Mustafa H, Häner M, Harrer J, Braun K.",Oper Orthop Traumatol. 2024 Apr;36(2):117-124. doi: 10.1007/s00064-024-00845-x. Epub 2024 Apr 8.,Petersen W,Oper Orthop Traumatol,2024,4/8/2024,,,10.1007/s00064-024-00845-x,Petersen (2024)
D'Ambrosi (2024),38577065,BPTB,A slight degree of osteoarthritis appears to be present after anterior cruciate ligament reconstruction compared with contralateral healthy knees at a minimum of 20 years: A systematic review of the literature,D'Ambrosi (2024),"D'Ambrosi R, Carrozzo A, Meena A, Corona K, Yadav AK, Annibaldi A, Kambhampati SBS, Abermann E, Fink C.",J Exp Orthop. 2024 Apr 4;11(2):e12017. doi: 10.1002/jeo2.12017. eCollection 2024 Apr.,D'Ambrosi R,J Exp Orthop,2024,4/5/2024,PMC10993150,,10.1002/jeo2.12017,D'Ambrosi (2024)
Beyer (2024),38574182,HT,Comparison of Graft Type and Fixation Method in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis Based on Randomized Control Studies,Beyer (2024),"Beyer J, Jones R, Igo I, Furyes AR, Liu J, Sohn DH.",JBJS Rev. 2024 Apr 4;12(4). doi: 10.2106/JBJS.RVW.23.00222. eCollection 2024 Apr 1.,Beyer J,JBJS Rev,2024,4/4/2024,,,10.2106/JBJS.RVW.23.00222,Beyer (2024)
Beyer (2024),38574182,BPTB,Comparison of Graft Type and Fixation Method in Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis Based on Randomized Control Studies,Beyer (2024),"Beyer J, Jones R, Igo I, Furyes AR, Liu J, Sohn DH.",JBJS Rev. 2024 Apr 4;12(4). doi: 10.2106/JBJS.RVW.23.00222. eCollection 2024 Apr 1.,Beyer J,JBJS Rev,2024,4/4/2024,,,10.2106/JBJS.RVW.23.00222,Beyer (2024)
Allende (2024),38551115,HT,Comparing Clinical Outcomes and Knee Stability in Remnant-Preserving ACL Reconstruction Versus Standard ACL Reconstruction: A Systematic Review and Meta-analysis,Allende (2024),"Allende F, Allahabadi S, Sachdev D, Gopinatth V, Saad Berreta R, LaPrade RF, Chahla J.",Am J Sports Med. 2024 Dec;52(14):3651-3661. doi: 10.1177/03635465231225984. Epub 2024 Mar 29.,Allende F,Am J Sports Med,2024,3/29/2024,,,10.1177/03635465231225984,Allende (2024)
Allende (2024),38551115,BPTB,Comparing Clinical Outcomes and Knee Stability in Remnant-Preserving ACL Reconstruction Versus Standard ACL Reconstruction: A Systematic Review and Meta-analysis,Allende (2024),"Allende F, Allahabadi S, Sachdev D, Gopinatth V, Saad Berreta R, LaPrade RF, Chahla J.",Am J Sports Med. 2024 Dec;52(14):3651-3661. doi: 10.1177/03635465231225984. Epub 2024 Mar 29.,Allende F,Am J Sports Med,2024,3/29/2024,,,10.1177/03635465231225984,Allende (2024)
Nukuto (2023),38529242,QT,"Current development in surgical techniques, graft selection and additional procedures for anterior cruciate ligament injury: a path towards anatomic restoration and improved clinical outcomes-a narrative review",Nukuto (2023),"Nukuto K, Hoshino Y, Kataoka K, Kuroda R.",Ann Jt. 2023 Sep 1;8:39. doi: 10.21037/aoj-23-39. eCollection 2023.,Nukuto K,Ann Jt,2023,3/26/2024,PMC10929350,,10.21037/aoj-23-39,Nukuto (2023)
Nukuto (2023),38529242,BPTB,"Current development in surgical techniques, graft selection and additional procedures for anterior cruciate ligament injury: a path towards anatomic restoration and improved clinical outcomes-a narrative review",Nukuto (2023),"Nukuto K, Hoshino Y, Kataoka K, Kuroda R.",Ann Jt. 2023 Sep 1;8:39. doi: 10.21037/aoj-23-39. eCollection 2023.,Nukuto K,Ann Jt,2023,3/26/2024,PMC10929350,,10.21037/aoj-23-39,Nukuto (2023)
Chen (2024),38421970,QT,Efficacy on knee function of Kinesio taping among individuals with anterior cruciate ligament reconstruction: A systematic review,Chen (2024),"Chen P, Wang L, Zhou W, Wang L.",PLoS One. 2024 Feb 29;19(2):e0299008. doi: 10.1371/journal.pone.0299008. eCollection 2024.,Chen P,PLoS One,2024,2/29/2024,PMC10903864,,10.1371/journal.pone.0299008,Chen (2024)
Chen (2024),38421970,HT,Efficacy on knee function of Kinesio taping among individuals with anterior cruciate ligament reconstruction: A systematic review,Chen (2024),"Chen P, Wang L, Zhou W, Wang L.",PLoS One. 2024 Feb 29;19(2):e0299008. doi: 10.1371/journal.pone.0299008. eCollection 2024.,Chen P,PLoS One,2024,2/29/2024,PMC10903864,,10.1371/journal.pone.0299008,Chen (2024)
Ambrosio (2024),38417640,HT,Anterior Cruciate Ligament Repair Augmented With Dynamic Intraligamentary Stabilization Is Equivalent to Hamstring Autograft Reconstruction at Short- and Mid-Term Follow-Up: A Systematic Review,Ambrosio (2024),"Ambrosio L, Franco D, Vadalà G, Russo F, Papalia R.",Arthroscopy. 2024 Jul;40(7):2121-2131.e1. doi: 10.1016/j.arthro.2023.12.011. Epub 2024 Feb 27.,Ambrosio L,Arthroscopy,2024,2/28/2024,,,10.1016/j.arthro.2023.12.011,Ambrosio (2024)
Ren (2024),38282789,HT,Comparison of Clinical Outcomes Between Modern Augmented ACL Repair and Autograft ACL Reconstruction: A Systematic Review and Meta-analysis of Studies With Minimum 2-Year Follow-up,Ren (2024),"Ren Y, Wang J, Ji J, Zhang C, Meng Q.",Orthop J Sports Med. 2024 Jan 25;12(1):23259671231223743. doi: 10.1177/23259671231223743. eCollection 2024 Jan.,Ren Y,Orthop J Sports Med,2024,1/29/2024,PMC10812109,,10.1177/23259671231223743,Ren (2024)
Maginnis (2024),38269417,QT,Analysis of Graft Types Augmented With an Internal Brace for ACL Reconstruction: A Systematic Review,Maginnis (2024),"Maginnis C, Root C, Schiavo JH, Ierulli VK, Vopat B, Mulcahey MK.",Am J Sports Med. 2024 Jul;52(9):2415-2423. doi: 10.1177/03635465231196157. Epub 2024 Jan 25.,Maginnis C,Am J Sports Med,2024,1/25/2024,,,10.1177/03635465231196157,Maginnis (2024)
Maginnis (2024),38269417,HT,Analysis of Graft Types Augmented With an Internal Brace for ACL Reconstruction: A Systematic Review,Maginnis (2024),"Maginnis C, Root C, Schiavo JH, Ierulli VK, Vopat B, Mulcahey MK.",Am J Sports Med. 2024 Jul;52(9):2415-2423. doi: 10.1177/03635465231196157. Epub 2024 Jan 25.,Maginnis C,Am J Sports Med,2024,1/25/2024,,,10.1177/03635465231196157,Maginnis (2024)
Maginnis (2024),38269417,BPTB,Analysis of Graft Types Augmented With an Internal Brace for ACL Reconstruction: A Systematic Review,Maginnis (2024),"Maginnis C, Root C, Schiavo JH, Ierulli VK, Vopat B, Mulcahey MK.",Am J Sports Med. 2024 Jul;52(9):2415-2423. doi: 10.1177/03635465231196157. Epub 2024 Jan 25.,Maginnis C,Am J Sports Med,2024,1/25/2024,,,10.1177/03635465231196157,Maginnis (2024)
Ananías (2024),38244487,QT,Use of electromyographic biofeedback in rehabilitation following anterior cruciate ligament reconstruction: a systematic review and meta-analysis,Ananías (2024),"Ananías J, Vidal C, Ortiz-Muñoz L, Irarrázaval S, Besa P.",Physiotherapy. 2024 Jun;123:19-29. doi: 10.1016/j.physio.2023.12.005. Epub 2023 Dec 21.,Ananías J,Physiotherapy,2024,1/20/2024,,,10.1016/j.physio.2023.12.005,Ananías (2024)
Jackson (2023),38145223,QT,Adverse Events and Complications After Primary ACL Reconstruction With Quadriceps Tendon Autograft: A Systematic Review,Jackson (2023),"Jackson GR, Mameri ES, Tuthill T, Wessels M, Asif S, Sugrañes J, Batra AK, McCormick JR, Obioha OA, Kaplan DJ, Knapik DM, Verma NN, Chahla J.",Orthop J Sports Med. 2023 Dec 21;11(12):23259671231199728. doi: 10.1177/23259671231199728. eCollection 2023 Dec.,Jackson GR,Orthop J Sports Med,2023,12/25/2023,PMC10748908,,10.1177/23259671231199728,Jackson (2023)
Quinn (2024),37898307,PLT,Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction: A Systematic Review,Quinn (2024),"Quinn M, Byrne RA, Albright JA, Testa E, Ahn B, Lemme N, Petit L, Blankenhorn B, Owens BD.",Arthroscopy. 2024 Apr;40(4):1366-1376.e1. doi: 10.1016/j.arthro.2023.10.016. Epub 2023 Oct 26.,Quinn M,Arthroscopy,2024,10/28/2023,,,10.1016/j.arthro.2023.10.016,Quinn (2024)
Quinn (2024),37898307,HT,Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction: A Systematic Review,Quinn (2024),"Quinn M, Byrne RA, Albright JA, Testa E, Ahn B, Lemme N, Petit L, Blankenhorn B, Owens BD.",Arthroscopy. 2024 Apr;40(4):1366-1376.e1. doi: 10.1016/j.arthro.2023.10.016. Epub 2023 Oct 26.,Quinn M,Arthroscopy,2024,10/28/2023,,,10.1016/j.arthro.2023.10.016,Quinn (2024)
Man (2023),37831110,HT,There is no difference in the efficacy of anterior cruciate ligament reconstruction using autograft combined with or without ligament augmentation: a systematic review and meta-analysis,Man (2023),"Man Q, Gao Y, Wang H, Ma Y, Meng Q.",Knee Surg Sports Traumatol Arthrosc. 2023 Dec;31(12):5524-5534. doi: 10.1007/s00167-023-07605-7. Epub 2023 Oct 13.,Man Q,Knee Surg Sports Traumatol Arthrosc,2023,10/13/2023,,,10.1007/s00167-023-07605-7,Man (2023)
Vari (2024),37644333,HT,Outcomes of hamstring graft with preserved tibial insertion for ACL reconstruction: systematic review and meta-analysis,Vari (2024),"Vari N, Cavaignac E, Cavaignac M, Bérard É, Marot V.",Eur J Orthop Surg Traumatol. 2024 Jan;34(1):67-73. doi: 10.1007/s00590-023-03698-5. Epub 2023 Aug 29.,Vari N,Eur J Orthop Surg Traumatol,2024,8/29/2023,PMC10771374,,10.1007/s00590-023-03698-5,Vari (2024)
Fan (2023),37568165,QT,Contralateral grafts have comparable efficacy to ipsilateral grafts in anterior cruciate ligament reconstructions: a systematic review,Fan (2023),"Fan D, Ma J, Zhang L.",J Orthop Surg Res. 2023 Aug 11;18(1):596. doi: 10.1186/s13018-023-04082-z.,Fan D,J Orthop Surg Res,2023,8/11/2023,PMC10422826,,10.1186/s13018-023-04082-z,Fan (2023)
Fan (2023),37568165,HT,Contralateral grafts have comparable efficacy to ipsilateral grafts in anterior cruciate ligament reconstructions: a systematic review,Fan (2023),"Fan D, Ma J, Zhang L.",J Orthop Surg Res. 2023 Aug 11;18(1):596. doi: 10.1186/s13018-023-04082-z.,Fan D,J Orthop Surg Res,2023,8/11/2023,PMC10422826,,10.1186/s13018-023-04082-z,Fan (2023)
Jackson (2023),37560145,HT,Higher Rates of Residual Postoperative Instability after Anterior Cruciate Ligament Reconstruction in Female Patients: A Systematic Review of Level II Studies,Jackson (2023),"Jackson GR, Lee J, Tuthill T, Chan J, Sugrañes J, Mowers CC, Batra A, Khan ZA, Mameri ES, Brusalis CM, Chahla J, Verma NN.",Arthrosc Sports Med Rehabil. 2023 Jul 29;5(5):100772. doi: 10.1016/j.asmr.2023.100772. eCollection 2023 Oct.,Jackson GR,Arthrosc Sports Med Rehabil,2023,8/10/2023,PMC10407150,,10.1016/j.asmr.2023.100772,Jackson (2023)
Jackson (2023),37560145,BPTB,Higher Rates of Residual Postoperative Instability after Anterior Cruciate Ligament Reconstruction in Female Patients: A Systematic Review of Level II Studies,Jackson (2023),"Jackson GR, Lee J, Tuthill T, Chan J, Sugrañes J, Mowers CC, Batra A, Khan ZA, Mameri ES, Brusalis CM, Chahla J, Verma NN.",Arthrosc Sports Med Rehabil. 2023 Jul 29;5(5):100772. doi: 10.1016/j.asmr.2023.100772. eCollection 2023 Oct.,Jackson GR,Arthrosc Sports Med Rehabil,2023,8/10/2023,PMC10407150,,10.1016/j.asmr.2023.100772,Jackson (2023)
Verhagen (2023),37537529,QT,"Clinical outcomes of different autografts used for all-epiphyseal, partial epiphyseal or transphyseal anterior cruciate ligament reconstruction in skeletally immature patients - a systematic review",Verhagen (2023),"Verhagen S, Dietvorst M, Delvaux E, van der Steen MC, Janssen R.",BMC Musculoskelet Disord. 2023 Aug 3;24(1):630. doi: 10.1186/s12891-023-06749-4.,Verhagen S,BMC Musculoskelet Disord,2023,8/3/2023,PMC10401849,,10.1186/s12891-023-06749-4,Verhagen (2023)
Verhagen (2023),37537529,HT,"Clinical outcomes of different autografts used for all-epiphyseal, partial epiphyseal or transphyseal anterior cruciate ligament reconstruction in skeletally immature patients - a systematic review",Verhagen (2023),"Verhagen S, Dietvorst M, Delvaux E, van der Steen MC, Janssen R.",BMC Musculoskelet Disord. 2023 Aug 3;24(1):630. doi: 10.1186/s12891-023-06749-4.,Verhagen S,BMC Musculoskelet Disord,2023,8/3/2023,PMC10401849,,10.1186/s12891-023-06749-4,Verhagen (2023)
Verhagen (2023),37537529,BPTB,"Clinical outcomes of different autografts used for all-epiphyseal, partial epiphyseal or transphyseal anterior cruciate ligament reconstruction in skeletally immature patients - a systematic review",Verhagen (2023),"Verhagen S, Dietvorst M, Delvaux E, van der Steen MC, Janssen R.",BMC Musculoskelet Disord. 2023 Aug 3;24(1):630. doi: 10.1186/s12891-023-06749-4.,Verhagen S,BMC Musculoskelet Disord,2023,8/3/2023,PMC10401849,,10.1186/s12891-023-06749-4,Verhagen (2023)
Vivekanantha (2023),37477649,HT,"Though five-strand hamstring autografts demonstrate greater graft diameter, postoperative outcomes are equivocal to four-strand hamstring autograft preparations: a systematic review and meta-analysis of level I and II studies",Vivekanantha (2023),"Vivekanantha P, Nedaie S, Grzela P, Cohen D, Hoshino Y, Nagai K, Kay J, de Sa D.",Knee Surg Sports Traumatol Arthrosc. 2023 Oct;31(10):4437-4447. doi: 10.1007/s00167-023-07515-8. Epub 2023 Jul 21.,Vivekanantha P,Knee Surg Sports Traumatol Arthrosc,2023,7/21/2023,,,10.1007/s00167-023-07515-8,Vivekanantha (2023)
Frigout (2024),37451340,HT,Do lateral extra-articular tenodeses play a role in the control of sagittal knee laxity in short hamstring tendon graft ACL reconstruction? A retrospective study of 80 cases with and without tenodesis,Frigout (2024),"Frigout F, Pouderoux T, Vincelot-Chainard C, Robert H.",Orthop Traumatol Surg Res. 2024 Feb;110(1):103656. doi: 10.1016/j.otsr.2023.103656. Epub 2023 Jul 13.,Frigout F,Orthop Traumatol Surg Res,2024,7/14/2023,,,10.1016/j.otsr.2023.103656,Frigout (2024)
Wright (2023),37388860,HT,Combined Anterior Cruciate Ligament and Medial Collateral Ligament Reconstruction Shows High Rates of Return to Activity and Low Rates of Recurrent Valgus Instability: An Updated Systematic Review,Wright (2023),"Wright ML, Coladonato C, Ciccotti MG, Tjoumakaris FP, Freedman KB.",Arthrosc Sports Med Rehabil. 2023 May 5;5(3):e867-e879. doi: 10.1016/j.asmr.2023.03.006. eCollection 2023 Jun.,Wright ML,Arthrosc Sports Med Rehabil,2023,6/30/2023,PMC10300531,,10.1016/j.asmr.2023.03.006,Wright (2023)
Carter (2023),37296390,QT,Preoperative predictors for return to physical activity following anterior cruciate ligament reconstruction (ACLR): a systematic review,Carter (2023),"Carter HM, Lewis GN, Smith BE.",BMC Musculoskelet Disord. 2023 Jun 9;24(1):471. doi: 10.1186/s12891-023-06489-5.,Carter HM,BMC Musculoskelet Disord,2023,6/9/2023,PMC10250179,,10.1186/s12891-023-06489-5,Carter (2023)
Carter (2023),37296390,BPTB,Preoperative predictors for return to physical activity following anterior cruciate ligament reconstruction (ACLR): a systematic review,Carter (2023),"Carter HM, Lewis GN, Smith BE.",BMC Musculoskelet Disord. 2023 Jun 9;24(1):471. doi: 10.1186/s12891-023-06489-5.,Carter HM,BMC Musculoskelet Disord,2023,6/9/2023,PMC10250179,,10.1186/s12891-023-06489-5,Carter (2023)
Migliorini (2023),37106008,HT,Bone-patellar tendon-bone versus two- and four-strand hamstring tendon autografts for ACL reconstruction in young adults: a Bayesian network meta-analysis,Migliorini (2023),"Migliorini F, Torsiello E, Trivellas A, Eschweiler J, Hildebrand F, Maffulli N.",Sci Rep. 2023 Apr 27;13(1):6883. doi: 10.1038/s41598-023-33899-1.,Migliorini F,Sci Rep,2023,4/27/2023,PMC10140035,,10.1038/s41598-023-33899-1,Migliorini (2023)
Migliorini (2023),37106008,BPTB,Bone-patellar tendon-bone versus two- and four-strand hamstring tendon autografts for ACL reconstruction in young adults: a Bayesian network meta-analysis,Migliorini (2023),"Migliorini F, Torsiello E, Trivellas A, Eschweiler J, Hildebrand F, Maffulli N.",Sci Rep. 2023 Apr 27;13(1):6883. doi: 10.1038/s41598-023-33899-1.,Migliorini F,Sci Rep,2023,4/27/2023,PMC10140035,,10.1038/s41598-023-33899-1,Migliorini (2023)
Ruelos (2023),37093236,HT,The reverse fragility index: RCTs reporting non-significant differences in failure rates between hamstring and bone-patellar tendon-bone autografts have fragile results,Ruelos (2023),"Ruelos VCB, Masood R, Puzzitiello RN, Moverman MA, Pagani NR, Menendez ME, Salzler MJ.",Knee Surg Sports Traumatol Arthrosc. 2023 Aug;31(8):3412-3419. doi: 10.1007/s00167-023-07420-0. Epub 2023 Apr 24.,Ruelos VCB,Knee Surg Sports Traumatol Arthrosc,2023,4/24/2023,,,10.1007/s00167-023-07420-0,Ruelos (2023)
Ruelos (2023),37093236,BPTB,The reverse fragility index: RCTs reporting non-significant differences in failure rates between hamstring and bone-patellar tendon-bone autografts have fragile results,Ruelos (2023),"Ruelos VCB, Masood R, Puzzitiello RN, Moverman MA, Pagani NR, Menendez ME, Salzler MJ.",Knee Surg Sports Traumatol Arthrosc. 2023 Aug;31(8):3412-3419. doi: 10.1007/s00167-023-07420-0. Epub 2023 Apr 24.,Ruelos VCB,Knee Surg Sports Traumatol Arthrosc,2023,4/24/2023,,,10.1007/s00167-023-07420-0,Ruelos (2023)
