id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,deduplication,title_abstract_screening,full-text_screening,reason_for_exclusion
,Muellner T (1998),PubMed,"Muellner T, Alacamlioglu Y, Nikolic A, Schabus R.",Muellner,No benefit of bracing on the early outcome after anterior cruciate ligament reconstruction,No benefit of bracing on the early ,1998,10.1007/s001670050078,Knee Surg Sports Traumatol Arthrosc,Muellner1998,,,
,Brandsson S (1998),PubMed,"Brandsson S, FaxÃ©n E, Eriksson BI, KÃ¤lebo P, SwÃ¤rd L, Lundin O, Karlsson J.",Brandsson,Closing patellar tendon defects after anterior cruciate ligament reconstruction: absence of any benefit,Closing patellar tendon defects aft,1998,10.1007/s001670050077,Knee Surg Sports Traumatol Arthrosc,Brandsson1998,,,
,Marcacci M (1998),PubMed,"Marcacci M, Zaffagnini S, Iacono F, Neri MP, Loreti I, Petitto A.",Marcacci,Arthroscopic intra- and extra-articular anterior cruciate ligament reconstruction with gracilis and semitendinosus tendons,Arthroscopic intra- and extra-artic,1998,10.1007/s001670050075,Knee Surg Sports Traumatol Arthrosc,Marcacci1998,,,
,Diduch DR (1998),PubMed,"Diduch DR, Mann J, Geary SP, Scott WN, Huie G.",Diduch,The effect of pretwisting the ACL autograft on knee laxity,The effect of pretwisting the ACL a,1998,,Am J Knee Surg,Diduch1998,,,
,Fischer DA (1998),PubMed,"Fischer DA, Tewes DP, Boyd JL, Smith JP, Quick DC.",Fischer,Home based rehabilitation for anterior cruciate ligament reconstruction,Home based rehabilitation for anter,1998,,Clin Orthop Relat Res,Fischer1998,,,
,Gerich TG (1997),PubMed,"Gerich TG, Lattermann C, Fremerey RW, Zeichen J, Lobenhoffer HP.",Gerich,One- versus two-incision technique for anterior cruciate ligament reconstruction with patellar tendon graft. Results on early rehabilitation and stability,One- versus two-incision technique ,1997,10.1007/s001670050052,Knee Surg Sports Traumatol Arthrosc,Gerich1997,,,
,WitoÅ„ski D (1997),PubMed,"WitoÅ„ski D, KozÅ‚owski P.",WitoÅ„ski,[Arthroscopy or arthrotomy in anterior cruciate ligament reconstruction with autogenous bone-tendon-bone-graft],Arthroscopy or arthrotomy in anteri,1997,,Chir Narzadow Ruchu Ortop Pol,WitoÅ„ski1997,,,
,al-Zarahini S (1997),PubMed,"al-Zarahini S, Franceschi JP, Coste J, Zerroug B, al-Sebai W.",al-Zarahini,Anterior cruciate ligament reconstruction by mini-arthrotomy,Anterior cruciate ligament reconstr,1997,10.1007/s002640050141,Int Orthop,al-Zarahini1997,,,
,Feller J (1997),PubMed,"Feller J, Bartlett J, Chapman S, Delahunt M.",Feller,Use of an extension-assisting brace following anterior cruciate ligament reconstruction,Use of an extension-assisting brace,1997,10.1007/s001670050016,Knee Surg Sports Traumatol Arthrosc,Feller1997,,,
,MacDonald PB (1996),PubMed,"MacDonald PB, Hedden D, Pacin O, Sutherland K.",MacDonald,Proprioception in anterior cruciate ligament-deficient and reconstructed knees,Proprioception in anterior cruciate,1996,10.1177/036354659602400612,Am J Sports Med,MacDonald1996,,,
,Thuresson P (1996),PubMed,"Thuresson P, Sandberg R, Johansson O, Balkfors B, Westlin N.",Thuresson,Anterior cruciate ligament reconstruction with the patellar tendon--augmentation or not? A 2-year follow-up of 82 patients,Anterior cruciate ligament reconstr,1996,10.1111/j.1600-0838.1996.tb00099.x,Scand J Med Sci Sports,Thuresson1996,,,
,GrÃ¸ntvedt T (1995),PubMed,"GrÃ¸ntvedt T, Engebretsen L.",GrÃ¸ntvedt,"Comparison between two techniques for surgical repair of the acutely torn anterior cruciate ligament. A prospective, randomized follow-up study of 48 patients",Comparison between two techniques f,1995,10.1111/j.1600-0838.1995.tb00059.x,Scand J Med Sci Sports,GrÃ¸ntvedt1995,,,
,Barber FA (1995),PubMed,"Barber FA, Elrod BF, McGuire DA, Paulos LE.",Barber,Preliminary results of an absorbable interference screw,Preliminary results of an absorbabl,1995,10.1016/0749-8063(95)90129-9,Arthroscopy,Barber1995,,,
,Cameron SE (1995),PubMed,"Cameron SE, Wilson W, St Pierre P.",Cameron,"A prospective, randomized comparison of open vs arthroscopically assisted ACL reconstruction","A prospective, randomized compariso",1995,10.3928/0147-7447-19950301-06,Orthopedics,Cameron1995,,,
,Knaepler H (1994),PubMed,"Knaepler H, Schenk C.",Knaepler,"[The new ""Marburg rehabilitation concept"". ""On the status of exercise equipment within the scope of rehabilitation of patients after surgery of the anterior cruciate ligament""]","The new ""Marburg rehabilitation con",1994,,Aktuelle Traumatol,Knaepler1994,,,
,EngstrÃ¶m B (1993),PubMed,"EngstrÃ¶m B, Wredmark T, Westblad P.",EngstrÃ¶m,Patellar tendon or Leeds-Keio graft in the surgical treatment of anterior cruciate ligament ruptures. Intermediate results,Patellar tendon or Leeds-Keio graft,1993,,Clin Orthop Relat Res,EngstrÃ¶m1993,,,
,Rosen MA (1992),PubMed,"Rosen MA, Jackson DW, Atwell EA.",Rosen,The efficacy of continuous passive motion in the rehabilitation of anterior cruciate ligament reconstructions,The efficacy of continuous passive ,1992,10.1177/036354659202000205,Am J Sports Med,Rosen1992,,,
,Richmond JC (1991),PubMed,"Richmond JC, Gladstone J, MacGillivray J.",Richmond,Continuous passive motion after arthroscopically assisted anterior cruciate ligament reconstruction: comparison of short- versus long-term use,Continuous passive motion after art,1991,10.1016/0749-8063(91)90076-a,Arthroscopy,Richmond1991,,,
,Engebretsen L (1990),PubMed,"Engebretsen L, Benum P, Fasting O, MÃ¸lster A, Strand T.",Engebretsen,"A prospective, randomized study of three surgical techniques for treatment of acute ruptures of the anterior cruciate ligament","A prospective, randomized study of ",1990,10.1177/036354659001800605,Am J Sports Med,Engebretsen1990,,,
,#VALUE!,PubMed,Kohn D.,Kohn,"Arthroscopic evaluation of anterior cruciate ligament reconstruction using a free patellar tendon autograft. A prospective, randomized study",Arthroscopic evaluation of anterior,1990,,Clin Orthop Relat Res,Kohn1990,,,
,Kentel M (2025),PubMed,"Kentel M, Krupa S, Reichert P, Korolczuk K, Kentel M, Kentel K, Daszkiewicz M.",Kentel,"Prospective, randomized study comparing clinical outcomes when reconstructing ACL with either semitendinosus autograft or the Jewel synthetic standalone device in two separate patient cohorts","Prospective, randomized study compa",2025,10.1016/j.knee.2025.07.024,Knee,Kentel2025,,,
,Mo IF (2025),PubMed,"Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Randsborg PH, Inderhaug E.",Mo,"Comparable Mid- to Long-term Outcomes of Semitendinosus and Semitendinosus/Gracilis Grafts in ACL Reconstruction: Median 8-Year (Range, 5-10 Years) Results From a Randomized Controlled Study",Comparable Mid- to Long-term Outcom,2025,10.1177/03635465251344106,Am J Sports Med,Mo2025,,,
,Lawless AM (2026),PubMed,"Lawless AM, Ebert JR, Edwards PK, Malik SS, Davies PSE, D'Alessandro PA.",Lawless,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial,A semitendinosus with adjustable bu,2026,10.1002/ksa.12698,Knee Surg Sports Traumatol Arthrosc,Lawless2026,,,
,Cao X (2025),PubMed,"Cao X, Liu J, Zhao J, Feng S, Zhao Z.",Cao,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes,Evaluation of the Application of BO,2025,10.1123/jsr.2024-0160,J Sport Rehabil,Cao2025,,,
,GarcÃ­a-Linage R (2025),PubMed,"GarcÃ­a-Linage R, Lassard-Rosenthal J, Noval-GarcÃ­a R, MuÃ±iz-Madrazo A, Fraind-Maya G, Palmero-Picazo J, German-CÃ³rdoba I, ZimbrÃ³n-LÃ³pez D.",GarcÃ­a-Linage,[Autologous hamstring versus quadriceps graft in anterior cruciate ligament plasty. Comparative study with focus on Return-To-Sport],Autologous hamstring versus quadric,2025,,Acta Ortop Mex,GarcÃ­a-Linage2025,,,
,Calvert ND (2025),PubMed,"Calvert ND, Ebert JR, Radic R.",Calvert,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft,Kneeling tolerance when using quadr,2025,10.1002/ksa.12583,Knee Surg Sports Traumatol Arthrosc,Calvert2025,,,
,Butt U (2024),PubMed,"Butt U, Vuletic F, Shaikh MAA, Amanullah, Rehman GU, Shah IA, StÃ¥lman A, Khan ZA.",Butt,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,5-years outcomes following arthrosc,2024,10.1007/s00402-024-05639-1,Arch Orthop Trauma Surg,Butt2024,,,
,Yang X (2025),PubMed,"Yang X, Li Y, He C, Jin T, Huang Y.",Yang,Early versus delayed start of weight-bearing after arthroscopic anterior cruciate ligament reconstruction with hamstring tendons,Early versus delayed start of weigh,2025,10.23736/S0022-4707.24.16134-8,J Sports Med Phys Fitness,Yang2025,,,
,Ramakanth R (2025),PubMed,"Ramakanth R, Sundararajan SR, Sujith BSG, D'Souza T, Arumugam P, Rajasekaran S.",Ramakanth,"Medial Collateral Ligament Repair, Isolated Suture-Tape-Bracing and No Repair for Grade III Medial Collateral Ligament Tears During Anterior Cruciate Ligament Reconstruction Have Similar Outcome for Combined Anterior Cruciate Ligament With Medial Collateral Ligament Injury: A 3-Arm Randomized Controlled Trial","Medial Collateral Ligament Repair, ",2025,10.1016/j.arthro.2024.09.023,Arthroscopy,Ramakanth2025,,,
,Mo IF (2024),PubMed,"Mo IF, Harlem T, Faleide AGH, Strand T, Vindfeld S, Solheim E, Inderhaug E.",Mo,ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study,ACL Reconstruction Using Quadrupled,2024,10.1177/03635465241254048,Am J Sports Med,Mo2024,,,
,#VALUE!,PubMed,Getgood AMJ.,Getgood,Avoiding Graft Failure: Lessons Learned from the Stability Trial,Avoiding Graft Failure: Lessons Lea,2024,10.1016/j.csm.2023.08.005,Clin Sports Med,Getgood2024,,,
,Yu H (2024),PubMed,"Yu H, Dong Z, Shi Z, Li L, Dong K, Liu H, Li Y.",Yu,[Early effectiveness of local injection of multimodal drug cocktail during anterior cruciate ligament reconstruction and its influence on cartilage],Early effectiveness of local inject,2024,10.7507/1002-1892.202402054,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,Yu2024,,,
,Ebert JR (2024),PubMed,"Ebert JR, Calvert ND, Radic R.",Ebert,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,A Prospective Randomized Controlled,2024,10.1177/03635465231222279,Am J Sports Med,Ebert2024,,,
,Ma W (2023),PubMed,"Ma W, Yang Y, Ha X.",Ma,Two-stage ligament reconstruction with remnant preservation as treatment of knee dislocation,Two-stage ligament reconstruction w,2023,10.1186/s12893-023-02271-5,BMC Surg,Ma2023,,,
,Chen J (2023),PubMed,"Chen J, Wu T, Guo Y.",Chen,"Nordic hamstring exercises in functional knee rehabilitation after anterior cruciate ligament reconstruction: a prospective, randomised, controlled study",Nordic hamstring exercises in funct,2023,10.1038/s41598-023-45817-6,Sci Rep,Chen2023,,,
,Cruz CA (2022),PubMed,"Cruz CA, Mannino BJ, Pike A, Thoma D, Lindell K, Kerbel YE, McCadden A, Lopez AJ, Bottoni CR.",Cruz,Increased posterior tibial slope is an independent risk factor of anterior cruciate ligament reconstruction graft rupture irrespective of graft choice,Increased posterior tibial slope is,2022,10.1016/j.jisako.2022.04.002,J ISAKOS,Cruz2022,,,
,Lan X (2023),PubMed,"Lan X, Huang J, Tian F, Wang S, Liu C, Wang J.",Lan,Application of 3D-Printed Personalized Guide for Lateral Femoral Positioning in Anterior Cruciate Ligament Reconstruction of the Knee,Application of 3D-Printed Personali,2023,,Altern Ther Health Med,Lan2023,,,
,Tang N (2024),PubMed,"Tang N, Eren M, Gurpinar T, Ozturkmen Y.",Tang,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,A prospective randomized controlled,2024,10.1007/s00590-023-03636-5,Eur J Orthop Surg Traumatol,Tang2024,,,
,Rezansoff A (2024),PubMed,"Rezansoff A, Firth AD, Bryant DM, Litchfield R, McCormack RG, Heard M, MacDonald PB, Spalding T, Verdonk PCM, Peterson D, Bardana D; STABILITY Study Group; Getgood AMJ.",Rezansoff,Anterior Cruciate Ligament Reconstruction Plus Lateral Extra-articular Tenodesis Has a Similar Return-to-Sport Rate to Anterior Cruciate Ligament Reconstruction Alone but a Lower Failure Rate,Anterior Cruciate Ligament Reconstr,2024,10.1016/j.arthro.2023.05.019,Arthroscopy,Rezansoff2024,,,
,Mousavi SH (2023),PubMed,"Mousavi SH, Radi M, Kazemi D, Izadpanah F, Shahrouzian A.",Mousavi,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,Evaluation the results of anterior ,2023,10.1007/s00590-023-03522-0,Eur J Orthop Surg Traumatol,Mousavi2023,,,
,Zarzycki R (2024),PubMed,"Zarzycki R, Cummer K, Arhos E, Failla M, Capin JJ, Smith AH, Snyder-Mackler L.",Zarzycki,Female Athletes With Better Psychological Readiness Are at Higher Risk for Second ACL Injury After Primary ACL Reconstruction,Female Athletes With Better Psychol,2024,10.1177/19417381231155120,Sports Health,Zarzycki2024,,,
,KuliÅ„ski K (2023),PubMed,"KuliÅ„ski K, WaÅ›ko MK, TramÅ› E, Malesa K, Pomianowski S, KamiÅ„ski R.",KuliÅ„ski,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study",Anterior Cruciate Ligament Reconstr,2023,10.1177/03635465221149738,Am J Sports Med,KuliÅ„ski2023,,,
,Helito CP (2023),PubMed,"Helito CP, da Silva AGM, Sobrado MF, GuimarÃ£es TM, Gobbi RG, PÃ©cora JR.",Helito,Small Hamstring Tendon Graft for Anterior Cruciate Ligament Reconstruction Combined With Anterolateral Ligament Reconstruction Results in the Same Failure Rate as Larger Hamstring Tendon Graft Reconstruction Alone,Small Hamstring Tendon Graft for An,2023,10.1016/j.arthro.2023.01.101,Arthroscopy,Helito2023,,,
,El-Azab H (2023),PubMed,"El-Azab H, Moursy M, Mohamed MA, Elsayed M.",El-Azab,A comparison of the outcomes of anterior curciate ligament reconstruction with large-size graft versus reconstruction with average-size graft combined with extraarticular tenodesis,A comparison of the outcomes of ant,2023,10.1016/j.injury.2023.01.033,Injury,El-Azab2023,,,
,Heard M (2023),PubMed,"Heard M, Marmura H, Bryant D, Litchfield R, McCormack R, MacDonald P, Spalding T, Verdonk P, Peterson D, Bardana D, Rezansoff A; STABILITY Study Group; Getgood A.",Heard,No increase in adverse events with lateral extra-articular tenodesis augmentation of anterior cruciate ligament reconstruction - Results from the stability randomized trial,No increase in adverse events with ,2023,10.1016/j.jisako.2022.12.001,J ISAKOS,Heard2023,,,
,Lodhia P (2022),PubMed,"Lodhia P, Nazari G, Bryant D, Getgood A, McCormack R; STABILITY Group; Getgood AMJ, Bryant DM, Litchfield R, Willits K, Birmingham T, Hewison C, Firth AD, Wanlin S, Pinto R, Martindale A, O'Neill L, Jennings M, Daniluk M, McCormack RG, Boyer D, Zomar M, Moon K, Moon R, Fan B, Mohan B, Payne K, Heard M, Buchko GM, Hiemstra LA, Kerslake S, Tynedal J, MacDonald PB, Stranges G, Mcrae S, Gullett L, Brown H, Legary A, Longo A, Christian M, Ferguson C, Rezansoff A, Mohtadi N, Barber R, Chan D, Campbell C, Garven A, Pulsifer K, Mayer M, Peterson D, Simunovic N, Duong A, Robinson D, Levy D, Skelly M, Shanmugaraj A, Bardana D, Howells F, Tough M, Spalding T, Thompson P, Metcalfe A, Asplin L, Dube A, Clarkson L, Brown J, Bolsover A, Bradshaw C, Belgrove L, Milan F, Turner S, Verdugo S, Lowe J, Dunne D, McGowan K, Suddens CM, Verdonk PCM, Declerq G, Vuylsteke K, Van Haver M.",Lodhia,Performance of 5-Strand Hamstring Autograft Anterior Cruciate Ligament Reconstruction in the STABILITY Study: A Subgroup Analysis,Performance of 5-Strand Hamstring A,2022,10.1177/03635465221128581,Am J Sports Med,Lodhia2022,,,
,Vieira de Melo RF (2022),PubMed,"Vieira de Melo RF, Komatsu WR, Freitas MS, Vieira de Melo ME, Cohen M.",Vieira,Comparison of Quadriceps and Hamstring Muscle Strength after Exercises with and without Blood Flow Restriction following Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial,Comparison of Quadriceps and Hamstr,2022,10.2340/jrm.v54.2550,J Rehabil Med,Vieira2022,,,
,Grassi A (2022),PubMed,"Grassi A, Di Paolo S, Dal Fabbro G, Eroglu ON, Macchiarola L, Lucidi GA, Zaffagnini S.",Grassi,Objective laxity and subjective outcomes are more influenced by meniscal treatment than anterior cruciate ligament reconstruction technique at minimum2 years of follow-up,Objective laxity and subjective out,2022,10.1016/j.jisako.2022.04.006,J ISAKOS,Grassi2022,,,
,Kasl J (2022),PubMed,"Kasl J, Zeman P, Pavelka T, CibulkovÃ¡ J, PilnÃ½ J, MatÄ›jka J.",Kasl,[Clinical Outcomes of the Application of Platelet-Rich Fibrin during Anatomic Anterior Cruciate Ligament Reconstruction: Results of Prospective Randomised Study],Clinical Outcomes of the Applicatio,2022,,Acta Chir Orthop Traumatol Cech,Kasl2022,,,
,Glasbrenner J (2022),PubMed,"Glasbrenner J, Raschke MJ, Kittl C, Herbst E, Peez C, Briese T, Michel PA, Herbort M, KÃ¶sters C, Schliemann B.",Glasbrenner,Comparable Instrumented Knee Joint Laxity and Patient-Reported Outcomes After ACL Repair With Dynamic Intraligamentary Stabilization or ACL Reconstruction: 5-Year Results of a Randomized Controlled Trial,Comparable Instrumented Knee Joint ,2022,10.1177/03635465221117777,Am J Sports Med,Glasbrenner2022,,,
,Jin T (2022),PubMed,"Jin T, Li Y, Yang G, Liao X, Wang G, Wang F.",Jin,Comparison of Rapid Rehabilitation after Anterior Cruciate Ligament Reconstruction with Tensioning Technique and Traditional Rehabilitation,Comparison of Rapid Rehabilitation ,2022,10.1155/2022/6779207,Dis Markers,Jin2022,,,
,Beaudoin A (2022),PubMed,"Beaudoin A, Ogborn D, McRae S, Larose G, Brown H, McCormack R, MacDonald P.",Beaudoin,No differences found in long-term outcomes of a randomized controlled trial comparing ipsilateral versus contralateral hamstring graft in ACL reconstruction,No differences found in long-term o,2022,10.1007/s00167-022-06980-x,Knee Surg Sports Traumatol Arthrosc,Beaudoin2022,,,
,Labianca L (2022),PubMed,"Labianca L, Andreozzi V, Princi G, Princi AA, Calderaro C, Guzzini M, Ferretti A.",Labianca,"The effectiveness of Kinesio Taping in improving pain and edema during early rehabilitation after Anterior Cruciate Ligament Reconstruction: A Prospective, Randomized, Control Study",The effectiveness of Kinesio Taping,2022,10.23750/abm.v92i6.10875,Acta Biomed,Labianca2022,,,
,Firth AD (2022),PubMed,"Firth AD, Bryant DM, Litchfield R, McCormack RG, Heard M, MacDonald PB, Spalding T, Verdonk PCM, Peterson D, Bardana D, Rezansoff A; STABILITY Study Group; Getgood AMJ, Willits K, Birmingham T, Hewison C, Wanlin S, Pinto R, Martindale A, O'Neill L, Jennings M, Daniluk M, Boyer D, Zomar M, Moon K, Moon R, Fan B, Mohan B, Buchko GM, Hiemstra LA, Kerslake S, Tynedal J, Stranges G, Mcrae S, Gullett L, Brown H, Legary A, Longo A, Christian M, Ferguson C, Mohtadi N, Barber R, Chan D, Campbell C, Garven A, Pulsifer K, Mayer M, Simunovic N, Duong A, Robinson D, Levy D, Skelly M, Shanmugaraj A, Howells F, Tough M, Thompson P, Metcalfe A, Asplin L, Dube A, Clarkson L, Brown J, Bolsover A, Bradshaw C, Belgrove L, Milan F, Turner S, Verdugo S, Lowe J, Dunne D, McGowan K, Suddens CM, Declerq G, Vuylsteke K, Van Haver M.",Firth,Predictors of Graft Failure in Young Active Patients Undergoing Hamstring Autograft Anterior Cruciate Ligament Reconstruction With or Without a Lateral Extra-articular Tenodesis: The Stability Experience,Predictors of Graft Failure in Youn,2022,10.1177/03635465211061150,Am J Sports Med,Firth2022,,,
,Sole G (2021),PubMed,"Sole G, Lamb P, Pataky T, Klima S, Navarre P, Hammer N.",Sole,Immediate and 6-week effects of wearing a knee sleeve following anterior cruciate ligament reconstruction: a cross-over laboratory and randomised clinical trial,Immediate and 6-week effects of wea,2021,10.1186/s12891-021-04540-x,BMC Musculoskelet Disord,Sole2021,,,
,Horstmann H (2022),PubMed,"Horstmann H, Petri M, Tegtbur U, Felmet G, Krettek C, Jagodzinski M.",Horstmann,"Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial",Quadriceps and hamstring tendon aut,2022,10.1007/s00402-021-03862-8,Arch Orthop Trauma Surg,Horstmann2022,,,
,Kulshrestha V (2021),PubMed,"Kulshrestha V, Sood M, Kumar S, Kawale A.",Kulshrestha,Original study: early patient-reported functional outcome of all-inside ACL reconstruction as compared to anteromedial portal technique,Original study: early patient-repor,2021,10.1007/s00590-021-02912-6,Eur J Orthop Surg Traumatol,Kulshrestha2021,,,
,Erden T (2021),PubMed,"Erden T, Toker B, Toprak A, TaÅŸer Ã–.",Erden,Comparison of the outcomes of isolated anterior cruciate ligament reconstruction and combined anterolateral ligament suture tape augmentation and anterior cruciate ligament reconstruction,Comparison of the outcomes of isola,2021,10.5606/ehc.2020.78201,Jt Dis Relat Surg,Erden2021,,,
,Zhang Y (2020),PubMed,"Zhang Y, Liu S, Chen Q, Hu Y, Sun Y, Chen J.",Zhang,Maturity Progression of the Entire Anterior Cruciate Ligament Graft of Insertion-Preserved Hamstring Tendons by 5 Years: A Prospective Randomized Controlled Study Based on Magnetic Resonance Imaging Evaluation,Maturity Progression of the Entire ,2020,10.1177/0363546520951507,Am J Sports Med,Zhang2020,,,
,Krishna L (2021),PubMed,"Krishna L, Chan CX, Lokaiah L, Chinnasamy D, Goyal S, Wang M, Singh A.",Krishna,Five-Strand Versus Four-Strand Hamstring Autografts in Anterior Cruciate Ligament Reconstruction-A Prospective Randomized Controlled Study,Five-Strand Versus Four-Strand Hams,2021,10.1016/j.arthro.2020.08.012,Arthroscopy,Krishna2021,,,
,Roger J (2020),PubMed,"Roger J, Bertani A, Vigouroux F, Mottier F, Gaillard R, Have L, RongiÃ¨ras F.",Roger,ACL reconstruction using a quadruple semitendinosus graft with cortical fixations gives suitable isokinetic and clinical outcomes after 2Â years,ACL reconstruction using a quadrupl,2020,10.1007/s00167-020-06121-2,Knee Surg Sports Traumatol Arthrosc,Roger2020,,,
,Barnett S (2020),PubMed,"Barnett S, Badger GJ, Kiapour A, Yen YM, Henderson R, Freiberger C, Proffen B, Sant N, Trainor B, Fleming BC, Micheli LJ, Murray MM, Kramer DE.",Barnett,Females Have Earlier Muscle Strength and Functional Recovery After Bridge-Enhanced Anterior Cruciate Ligament Repair,Females Have Earlier Muscle Strengt,2020,10.1089/ten.tea.2020.0057,Tissue Eng Part A,Barnett2020,,,
,Sundaraj K (2020),PubMed,"Sundaraj K, Salmon LJ, Heath EL, Winalski CS, Colak C, Vasanji A, Roe JP, Pinczewski LA.",Sundaraj,"Bioabsorbable Versus Titanium Screws in Anterior Cruciate Ligament Reconstruction Using Hamstring Autograft: A Prospective, Randomized Controlled Trial With 13-Year Follow-up",Bioabsorbable Versus Titanium Screw,2020,10.1177/0363546520911024,Am J Sports Med,Sundaraj2020,,,
,Porter M (2020),PubMed,"Porter M, Shadbolt B.",Porter,Modified Iliotibial Band Tenodesis Is Indicated to Correct Intraoperative Residual Pivot Shift After Anterior Cruciate Ligament Reconstruction Using an Autologous Hamstring Tendon Graft: A Prospective Randomized Controlled Trial,Modified Iliotibial Band Tenodesis ,2020,10.1177/0363546520910148,Am J Sports Med,Porter2020,,,
,Sinding KS (2020),PubMed,"Sinding KS, Nielsen TG, Hvid LG, Lind M, Dalgas U.",Sinding,Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial,Effects of Autograft Types on Muscl,2020,10.1007/s40279-020-01276-x,Sports Med,Sinding2020,,,
,Vilchez-Cavazos F (2020),PubMed,"Vilchez-Cavazos F, DÃ¡vila-MartÃ­nez A, Garza-Castro S, Simental-MendÃ­a M, Garay-Mendoza D, Tamez-Mata Y, PeÃ±a-MartÃ­nez V, Acosta-Olivo C.",Vilchez-Cavazos,Anterior cruciate ligament injuries treated with quadriceps tendon autograft versus hamstring autograft: A randomized controlled trial,Anterior cruciate ligament injuries,2020,10.24875/CIRU.19001001,Cir Cir,Vilchez-Cavazos2020,,,
,Getgood AMJ (2020),PubMed,"Getgood AMJ, Bryant DM, Litchfield R, Heard M, McCormack RG, Rezansoff A, Peterson D, Bardana D, MacDonald PB, Verdonk PCM, Spalding T; STABILITY Study Group; Willits K, Birmingham T, Hewison C, Wanlin S, Firth A, Pinto R, Martindale A, O'Neill L, Jennings M, Daniluk M, Boyer D, Zomar M, Moon K, Pritchett R, Payne K, Fan B, Mohan B, Buchko GM, Hiemstra LA, Kerslake S, Tynedal J, Stranges G, Mcrae S, Gullett L, Brown H, Legary A, Longo A, Christian M, Ferguson C, Mohtadi N, Barber R, Chan D, Campbell C, Garven A, Pulsifer K, Mayer M, Simunovic N, Duong A, Robinson D, Levy D, Skelly M, Shanmugaraj A, Howells F, Tough M, Spalding T, Thompson P, Metcalfe A, Asplin L, Dube A, Clarkson L, Brown J, Bolsover A, Bradshaw C, Belgrove L, Millan F, Turner S, Verdugo S, Lowe J, Dunne D, McGowan K, Suddens CM, Declercq G, Vuylsteke K, Van Haver M.",Getgood,Lateral Extra-articular Tenodesis Reduces Failure of Hamstring Tendon Autograft Anterior Cruciate Ligament Reconstruction: 2-Year Outcomes From the STABILITY Study Randomized Clinical Trial,Lateral Extra-articular Tenodesis R,2020,10.1177/0363546519896333,Am J Sports Med,Getgood2020,,,
,Lind M (2020),PubMed,"Lind M, Nielsen TG, Soerensen OG, Mygind-Klavsen B, FaunÃ¸ P.",Lind,Quadriceps tendon grafts does not cause patients to have inferior subjective outcome after anterior cruciate ligament (ACL) reconstruction than do hamstring grafts: a 2-year prospective randomised controlled trial,Quadriceps tendon grafts does not c,2020,10.1136/bjsports-2019-101000,Br J Sports Med,Lind2020,,,
,Liu H (2019),PubMed,"Liu H, Lu W, Liang D, Geng H, Zhu W, Ouyang K, Li H, Peng L, Feng W, Zhong M, Chen K, Li Y, Deng Z, Wang D.",Liu,[Effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament reconstruction],Effect of isokinetic training of th,2019,10.7507/1002-1892.201902059,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,Liu2019,,,
,Shumborski S (2019),PubMed,"Shumborski S, Heath E, Salmon LJ, Roe JP, Linklater JP, Facek M, Pinczewski LA.",Shumborski,A Randomized Controlled Trial of PEEK Versus Titanium Interference Screws for Anterior Cruciate Ligament Reconstruction With 2-Year Follow-up,A Randomized Controlled Trial of PE,2019,10.1177/0363546519861530,Am J Sports Med,Shumborski2019,,,
,Tajima T (2019),PubMed,"Tajima T, Yamaguchi N, Nagasawa M, Morita Y, Nakamura Y, Chosa E.",Tajima,Early weight-bearing after anterior cruciate ligament reconstruction with hamstring grafts induce femoral bone tunnel enlargement: a prospective clinical and radiographic study,Early weight-bearing after anterior,2019,10.1186/s12891-019-2653-6,BMC Musculoskelet Disord,Tajima2019,,,
