doi,authors,first_author,title,short_title,year,journal,key
10.1177/2325967118797990,"Runner R.P., Boden S.A., Godfrey W.S., Premkumar A., Samady H., Gottschalk M.B., Xerogeanes J.W.",Runner,"Quadriceps Strength Deficits After a Femoral Nerve Block Versus Adductor Canal Block for Anterior Cruciate Ligament Reconstruction: A Prospective, Single-Blinded, Randomized Trial",quadricepsstrengthdeficitsafterafemoralnerveblockversusadductorcanalblockforanteriorcruciateligamentreconstruction:aprospectivesingleblindedrandomizedtrial,2018,Orthopaedic Journal of Sports Medicine (2018) 6:9. Date of Publication: 1 Sep 2018,Runner+quadricepsstrengthdeficitsafterafemoralnerveblockversusadductorcanalblockforanteriorcruciateligamentreconstruction:aprospectivesingleblindedrandomizedtrial+2018
10.3881/j.issn.1000-503X.2017.06.010,"Zhang X., Huang H., Yang J., Yu Y., Zhang D., Chang C.",Zhang,Effects of preoperative isokinetic eccentric training and whey protein isolate supplement on quadriceps strength and knee function in patients with anterior cruciate ligament rupture,effectsofpreoperativeisokineticeccentrictrainingandwheyproteinisolatesupplementonquadricepsstrengthandkneefunctioninpatientswithanteriorcruciateligamentrupture,2017,Acta Academiae Medicinae Sinicae (2017) 39:6 (792-799). Date of Publication: 20 Dec 2017,Zhang+effectsofpreoperativeisokineticeccentrictrainingandwheyproteinisolatesupplementonquadricepsstrengthandkneefunctioninpatientswithanteriorcruciateligamentrupture+2017
10.1055/s-2002-25750,"Staub A., Ullmann P., Winker K.H.",Staub,Electromyostimulation under early functional rehabilitation after replacement of the anterior cruciate ligament,electromyostimulationunderearlyfunctionalrehabilitationafterreplacementoftheanteriorcruciateligament,2002,Aktuelle Traumatologie (2002) 32:2 (65-72). Date of Publication: 2002,Staub+electromyostimulationunderearlyfunctionalrehabilitationafterreplacementoftheanteriorcruciateligament+2002
10.1016/S0749-8063(85)80095-5,"Tegner Y., Lysholm J.",Tegner,Derotation brace and knee function in patients with anterior cruciate ligament tears,derotationbraceandkneefunctioninpatientswithanteriorcruciateligamenttears,1985,Arthroscopy (1985) 1:4 (264-267). Date of Publication: 1985,Tegner+derotationbraceandkneefunctioninpatientswithanteriorcruciateligamenttears+1985
10.47009/jamp.2024.6.5.90,"Prasad K., Biradar R.K., Patil V.K., Kembhavi R., Prashant K., Khodnapur G.",Prasad,A PROSPECTIVE STUDY ON THE FUNCTIONAL OUTCOMES OF PRIMARY ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION TREATED WITH PERONEUS LONGUS AUTOGRAFT,aprospectivestudyonthefunctionaloutcomesofprimaryanteriorcruciateligamentreconstructiontreatedwithperoneuslongusautograft,2024,International Journal of Academic Medicine and Pharmacy (2024) 6:5 (477-481). Date of Publication: 2024,Prasad+aprospectivestudyonthefunctionaloutcomesofprimaryanteriorcruciateligamentreconstructiontreatedwithperoneuslongusautograft+2024
10.1177/23259671221086669,"Perry A.K., Knapik D.M., Gursoy S., Alter T.D., Clapp I.M., Verma N.N., LaPrade R.F., Chahla J.",Perry,"Determining the Roles of the Anterior Cruciate Ligament, Posterolateral Corner, and Medial Collateral Ligament in Knee Hyperextension Using the Heel-Height Test",determiningtherolesoftheanteriorcruciateligamentposterolateralcornerandmedialcollateralligamentinkneehyperextensionusingtheheelheighttest,2022,Orthopaedic Journal of Sports Medicine (2022) 10:4. Date of Publication: 8 Apr 2022,Perry+determiningtherolesoftheanteriorcruciateligamentposterolateralcornerandmedialcollateralligamentinkneehyperextensionusingtheheelheighttest+2022
10.2106/JBJS.L.00356,"Kim S.-J., Bae J.-H., Song S.-H., Lim H.-C.",Kim,Bone tunnel widening with autogenous bone plugs versus bioabsorbable interference screws for secondary fixation in ACL reconstruction,bonetunnelwideningwithautogenousboneplugsversusbioabsorbableinterferencescrewsforsecondaryfixationinaclreconstruction,2013,Journal of Bone and Joint Surgery (2013) 95:2 (103-108). Date of Publication: 16 Jan 2013,Kim+bonetunnelwideningwithautogenousboneplugsversusbioabsorbableinterferencescrewsforsecondaryfixationinaclreconstruction+2013
10.1186/s13018-018-1045-1,"Mutsuzaki, H; Kinugasa, T; Ikeda, K; Sakane, M",Mutsuzaki,Anatomic single-bundle anterior cruciate ligament reconstruction using a calcium phosphate-hybridized tendon graft: a randomized controlled trial with 2years of follow-up,anatomicsinglebundleanteriorcruciateligamentreconstructionusingacalciumphosphatehybridizedtendongraft:arandomizedcontrolledtrialwith2yearsoffollowup,2018,JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,Mutsuzaki+anatomicsinglebundleanteriorcruciateligamentreconstructionusingacalciumphosphatehybridizedtendongraft:arandomizedcontrolledtrialwith2yearsoffollowup+2018
10.1177/0363546504269590,"Fithian, DC; Paxton, EW; Stone, ML; Luetzow, WF; Csintalan, RP; Phelan, D; Daniel, DM",Fithian,Prospective trial of a treatment algorithm for the management of the anterior cruciate ligament-injured knee,prospectivetrialofatreatmentalgorithmforthemanagementoftheanteriorcruciateligamentinjuredknee,2005,AMERICAN JOURNAL OF SPORTS MEDICINE,Fithian+prospectivetrialofatreatmentalgorithmforthemanagementoftheanteriorcruciateligamentinjuredknee+2005
10.1371/journal.pone.0183095,"Chen, TW; Zhang, P; Li, YX; Webster, K; Zhang, J; Yao, W; Yin, Y; Ai, CC; Chen, SY",Chen,"Translation, cultural adaptation and validation of simplified Chinese version of the anterior cruciate ligament return to sport after injury (ACL-RSI) scale",translationculturaladaptationandvalidationofsimplifiedchineseversionoftheanteriorcruciateligamentreturntosportafterinjury(aclrsi)scale,2017,PLOS ONE,Chen+translationculturaladaptationandvalidationofsimplifiedchineseversionoftheanteriorcruciateligamentreturntosportafterinjury(aclrsi)scale+2017
10.1007/s00167-014-3156-5,"Bohn, MB; Sorensen, H; Petersen, MK; Soballe, K; Lind, M",Bohn,Rotational laxity after anatomical ACL reconstruction measured by 3-D motion analysis: a prospective randomized clinical trial comparing anatomic and nonanatomic ACL reconstruction techniques,rotationallaxityafteranatomicalaclreconstructionmeasuredby3dmotionanalysis:aprospectiverandomizedclinicaltrialcomparinganatomicandnonanatomicaclreconstructiontechniques,2015,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Bohn+rotationallaxityafteranatomicalaclreconstructionmeasuredby3dmotionanalysis:aprospectiverandomizedclinicaltrialcomparinganatomicandnonanatomicaclreconstructiontechniques+2015
10.11138/mltj/2017.7.4.564,"Drocco, L; Camazzola, D; Ferracini, R; Lustig, S; Ravera, L; Graziano, E; Massè, A; Bistolfi, A",Drocco,Tripled semitendinosus with single harvesting is as effective but less invasive compared to standard gracilis-semitendinosus harvesting,tripledsemitendinosuswithsingleharvestingisaseffectivebutlessinvasivecomparedtostandardgracilissemitendinosusharvesting,2017,MLTJ-MUSCLES LIGAMENTS AND TENDONS JOURNAL,Drocco+tripledsemitendinosuswithsingleharvestingisaseffectivebutlessinvasivecomparedtostandardgracilissemitendinosusharvesting+2017
10.1177/0363546517744535,"Kim, JG; Kang, SH; Kim, JH; Lim, CO; Wang, JH",Kim,"Comparison of Clinical Results, Second-Look Arthroscopic Findings, and MRI Findings Between the Transportal and Outside-In Techniques for Double-Bundle Anatomic Anterior Cruciate Ligament Reconstruction A Prospective, Randomized Controlled Trial With a Minimum 2-Year Follow-up",comparisonofclinicalresultssecondlookarthroscopicfindingsandmrifindingsbetweenthetransportalandoutsideintechniquesfordoublebundleanatomicanteriorcruciateligamentreconstructionaprospectiverandomizedcontrolledtrialwithaminimum2yearfollowup,2018,AMERICAN JOURNAL OF SPORTS MEDICINE,Kim+comparisonofclinicalresultssecondlookarthroscopicfindingsandmrifindingsbetweenthetransportalandoutsideintechniquesfordoublebundleanatomicanteriorcruciateligamentreconstructionaprospectiverandomizedcontrolledtrialwithaminimum2yearfollowup+2018
10.3389/fsurg.2023.1003022,"Cai, ZJ; Yang, YT; Liu, D; Lu, WH; Pan, LY; He, M; Xie, WQ; Yu, DJ; Li, HZ; Jin, HF; Li, YS; Xiao, WF",Cai,The effect of hamstring donor-site block for functional outcomes and rehabilitation after anterior cruciate ligament reconstruction,theeffectofhamstringdonorsiteblockforfunctionaloutcomesandrehabilitationafteranteriorcruciateligamentreconstruction,2023,FRONTIERS IN SURGERY,Cai+theeffectofhamstringdonorsiteblockforfunctionaloutcomesandrehabilitationafteranteriorcruciateligamentreconstruction+2023
10.1097/PHM.0000000000000941,"Song, HY; Dai, XS; Li, JH; Zhu, SN",Song,Hamstring Co-Contraction in the Early Stage of Rehabilitation After Anterior Cruciate Ligament Reconstruction: A Longitudinal Study,hamstringcocontractionintheearlystageofrehabilitationafteranteriorcruciateligamentreconstruction:alongitudinalstudy,2018,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Song+hamstringcocontractionintheearlystageofrehabilitationafteranteriorcruciateligamentreconstruction:alongitudinalstudy+2018
10.3389/fresc.2025.1627228,"Vicente-Mampel, J; López-Soler, J; Sevilla-López, P; Ferrer-Torregrosa, J; Martín-Ruíz, J; Jaenada-Carrilero, E; Castillo-Dutor, N; Pascual-Leone, A; Pascual-Leone, N; Baraja-Vegas, L; Muñoz, JMT",Vicente-Mampel,Enhancing functional recovery after ACL injury. A protocol for a randomized control trial of transcranial direct current stimulation over the motor cortex,enhancingfunctionalrecoveryafteraclinjuryaprotocolforarandomizedcontroltrialoftranscranialdirectcurrentstimulationoverthemotorcortex,2025,FRONTIERS IN REHABILITATION SCIENCES,Vicente-Mampel+enhancingfunctionalrecoveryafteraclinjuryaprotocolforarandomizedcontroltrialoftranscranialdirectcurrentstimulationoverthemotorcortex+2025
10.1007/s00402-024-05356-9,"Helal, A; El-Gebaly, O; Hamed, H; Omran, AM; Elforse, E",Helal,Periosteal wrapping of the hamstring tendon autograft improves graft healing and prevents tunnel widening after anterior cruciate ligament anatomic reconstruction,periostealwrappingofthehamstringtendonautograftimprovesgrafthealingandpreventstunnelwideningafteranteriorcruciateligamentanatomicreconstruction,2024,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,Helal+periostealwrappingofthehamstringtendonautograftimprovesgrafthealingandpreventstunnelwideningafteranteriorcruciateligamentanatomicreconstruction+2024
10.1177/2325967116685525,"Kiekara, T; Paakkala, A; Suomalainen, P; Huhtala, H; Järvelä, T",Kiekara,Femoral and Tibial Tunnel Diameter and Bioabsorbable Screw Findings After Double-Bundle ACL Reconstruction in 5-Year Clinical and MRI Follow-up,femoralandtibialtunneldiameterandbioabsorbablescrewfindingsafterdoublebundleaclreconstructionin5yearclinicalandmrifollowup,2017,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,Kiekara+femoralandtibialtunneldiameterandbioabsorbablescrewfindingsafterdoublebundleaclreconstructionin5yearclinicalandmrifollowup+2017
10.1007/s00167-017-4623-6,"Minzlaff, P; Heidt, T; Feucht, MJ; Plath, JE; Hinterwimmer, S; Imhoff, AB; Saier, T",Minzlaff,Patient satisfaction with health is substantially improved following ACL reconstruction,patientsatisfactionwithhealthissubstantiallyimprovedfollowingaclreconstruction,2018,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Minzlaff+patientsatisfactionwithhealthissubstantiallyimprovedfollowingaclreconstruction+2018
10.1016/j.jor.2019.04.004,"Mutsuzaki, H; Kinugasa, T; Sakane, M",Mutsuzaki,Safety and feasibility of using calcium phosphate hybridization method for quadriceps tendon-bone graft in anterior cruciate ligament reconstruction,safetyandfeasibilityofusingcalciumphosphatehybridizationmethodforquadricepstendonbonegraftinanteriorcruciateligamentreconstruction,2019,JOURNAL OF ORTHOPAEDICS,Mutsuzaki+safetyandfeasibilityofusingcalciumphosphatehybridizationmethodforquadricepstendonbonegraftinanteriorcruciateligamentreconstruction+2019
10.1002/ksa.70170,"Fu, YP; Tian, Y; Zhao, ZW; Li, Z",Fu,Prehabilitation enhances functional and structural recovery following anterior cruciate ligament reconstruction: A randomized controlled trial,prehabilitationenhancesfunctionalandstructuralrecoveryfollowinganteriorcruciateligamentreconstruction:arandomizedcontrolledtrial,2025,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Fu+prehabilitationenhancesfunctionalandstructuralrecoveryfollowinganteriorcruciateligamentreconstruction:arandomizedcontrolledtrial+2025
10.1016/j.physio.2021.11.003,"Li, DS; Zhang, Q; Liu, XG; Chen, C; Lu, JN; Ye, DM; Li, YJ; Wang, W; Shen, M",Li,"Effect of water-based walking exercise on rehabilitation of patients following ACL reconstruction: a prospective, randomised, single-blind clinical trial",effectofwaterbasedwalkingexerciseonrehabilitationofpatientsfollowingaclreconstruction:aprospectiverandomisedsingleblindclinicaltrial,2022,PHYSIOTHERAPY,Li+effectofwaterbasedwalkingexerciseonrehabilitationofpatientsfollowingaclreconstruction:aprospectiverandomisedsingleblindclinicaltrial+2022
10.2519/jospt.2014.4852,"Logerstedt, D; Di Stasi, S; Grindem, H; Lynch, A; Eitzen, I; Engebretsen, L; Risberg, MA; Axe, MJ; Snyder-Mackler, L",Logerstedt,Self-Reported Knee Function Can Identify Athletes Who Fail Return-to-Activity Criteria up to 1 Year After Anterior Cruciate Ligament Reconstruction: A Delaware-Oslo ACL Cohort Study,selfreportedkneefunctioncanidentifyathleteswhofailreturntoactivitycriteriaupto1yearafteranteriorcruciateligamentreconstruction:adelawareosloaclcohortstudy,2014,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Logerstedt+selfreportedkneefunctioncanidentifyathleteswhofailreturntoactivitycriteriaupto1yearafteranteriorcruciateligamentreconstruction:adelawareosloaclcohortstudy+2014
10.1177/03635465241271524,"Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.",Popovic,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendon,2024,Am J Sports Med,Popovic+reducedkneeflexionstrength18yearsafteraclreconstructionwithhamstringtendonversuspatellartendon+2024
10.3390/medicina59101764,"Obradović M, Ninković S, Gvozdenović N, Tošić M, Milinkov M, Dulić O.",Obradović,Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction,tubularizationofbonetendonbonegrafts:effectsonmechanicalstrengthandpostoperativekneestabilityinanteriorcruciateligamentreconstruction,2023,Medicina (Kaunas),Obradović+tubularizationofbonetendonbonegrafts:effectsonmechanicalstrengthandpostoperativekneestabilityinanteriorcruciateligamentreconstruction+2023
10.1016/j.knee.2022.03.015,"de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.",de,Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial,iscontralateralautogenouspatellartendongraftabetterchoicethanipsilateralforanteriorcruciateligamentreconstructioninyoungsportsmen?arandomizedcontrolledtrial,2022,Knee,de+iscontralateralautogenouspatellartendongraftabetterchoicethanipsilateralforanteriorcruciateligamentreconstructioninyoungsportsmen?arandomizedcontrolledtrial+2022
10.1016/j.arthro.2021.12.018,"Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.",Chahal,Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial,anteriorcruciateligamentpatellartendonautograftfixationat0°versus30°resultsinimprovedactivityscoresandagreaterproportionofpatientsachievingtheminimalclinicalimportantdifferenceforkneeinjuryandosteoarthritisoutcomescorepain:arandomizedcontrolledtrial,2022,Arthroscopy,Chahal+anteriorcruciateligamentpatellartendonautograftfixationat0°versus30°resultsinimprovedactivityscoresandagreaterproportionofpatientsachievingtheminimalclinicalimportantdifferenceforkneeinjuryandosteoarthritisoutcomescorepain:arandomizedcontrolledtrial+2022
10.1007/s00402-021-04195-2,"Komzák M, Hart R, Náhlík D, Vysoký R.",Komzák,In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft,invivokneerotationalstability2yearsaftertheaclreconstructionusingaquadricepstendongraftwithboneblockandbonepatellartendonbonegraft,2022,Arch Orthop Trauma Surg,Komzák+invivokneerotationalstability2yearsaftertheaclreconstructionusingaquadricepstendongraftwithboneblockandbonepatellartendonbonegraft+2022
10.1177/03635465211010798,"Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.",Marmura,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,validationofariskcalculatortopersonalizegraftchoiceandreduceruptureratesforanteriorcruciateligamentreconstruction,2021,Am J Sports Med,Marmura+validationofariskcalculatortopersonalizegraftchoiceandreduceruptureratesforanteriorcruciateligamentreconstruction+2021
10.1007/s00402-020-03508-1,"Barié A, Sprinckstub T, Huber J, Jaber A.",Barié,"Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years",quadricepstendonvspatellartendonautograftforaclreconstructionusingahardwarefreepressfitfixationtechnique:comparablestabilityfunctionandreturntosportlevelbutlessdonorsitemorbidityinathletesafter10years,2020,Arch Orthop Trauma Surg,Barié+quadricepstendonvspatellartendonautograftforaclreconstructionusingahardwarefreepressfitfixationtechnique:comparablestabilityfunctionandreturntosportlevelbutlessdonorsitemorbidityinathletesafter10years+2020
10.1177/0363546520914936,"Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.",Castoldi,A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up,arandomizedcontrolledtrialofbonepatellartendonboneanteriorcruciateligamentreconstructionwithandwithoutlateralextraarticulartenodesis:19yearclinicalandradiologicalfollowup,2020,Am J Sports Med,Castoldi+arandomizedcontrolledtrialofbonepatellartendonboneanteriorcruciateligamentreconstructionwithandwithoutlateralextraarticulartenodesis:19yearclinicalandradiologicalfollowup+2020
10.1177/0363546520913532,"Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.",Murray,Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial,bridgeenhancedanteriorcruciateligamentrepairisnotinferiortoautograftanteriorcruciateligamentreconstructionat2years:resultsofaprospectiverandomizedclinicaltrial,2020,Am J Sports Med,Murray+bridgeenhancedanteriorcruciateligamentrepairisnotinferiortoautograftanteriorcruciateligamentreconstructionat2years:resultsofaprospectiverandomizedclinicaltrial+2020
10.1016/j.arthro.2020.01.048,"Smith PA, Cook CS, Bley JA.",Smith,All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger,allinsidequadrupledsemitendinosusautograftshowsstabilityequivalenttopatellartendonautograftanteriorcruciateligamentreconstruction:randomizedcontrolledtrialinathletes24yearsoryounger,2020,Arthroscopy,Smith+allinsidequadrupledsemitendinosusautograftshowsstabilityequivalenttopatellartendonautograftanteriorcruciateligamentreconstruction:randomizedcontrolledtrialinathletes24yearsoryounger+2020
10.2106/JBJS.18.01322,"Mohtadi NG, Chan DS.",Mohtadi,"A Randomized Clinical Trial Comparing Patellar Tendon, Hamstring Tendon, and Double-Bundle ACL Reconstructions: Patient-Reported and Clinical Outcomes at 5-Year Follow-up",arandomizedclinicaltrialcomparingpatellartendonhamstringtendonanddoublebundleaclreconstructions:patientreportedandclinicaloutcomesat5yearfollowup,2019,J Bone Joint Surg Am,Mohtadi+arandomizedclinicaltrialcomparingpatellartendonhamstringtendonanddoublebundleaclreconstructions:patientreportedandclinicaloutcomesat5yearfollowup+2019
10.1016/j.arthro.2018.10.149,"Bailey L, Griffin J, Elliott M, Wu J, Papavasiliou T, Harner C, Lowe W.",Bailey,Adductor Canal Nerve Versus Femoral Nerve Blockade for Pain Control and Quadriceps Function Following Anterior Cruciate Ligament Reconstruction With Patellar Tendon Autograft: A Prospective Randomized Trial,adductorcanalnerveversusfemoralnerveblockadeforpaincontrolandquadricepsfunctionfollowinganteriorcruciateligamentreconstructionwithpatellartendonautograft:aprospectiverandomizedtrial,2019,Arthroscopy,Bailey+adductorcanalnerveversusfemoralnerveblockadeforpaincontrolandquadricepsfunctionfollowinganteriorcruciateligamentreconstructionwithpatellartendonautograft:aprospectiverandomizedtrial+2019
10.1177/0363546518769295,"Walters BL, Porter DA, Hobart SJ, Bedford BB, Hogan DE, McHugh MM, Klein DA, Harousseau K, Nicholas SJ.",Walters,Effect of Intraoperative Platelet-Rich Plasma Treatment on Postoperative Donor Site Knee Pain in Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: A Double-Blind Randomized Controlled Trial,effectofintraoperativeplateletrichplasmatreatmentonpostoperativedonorsitekneepaininpatellartendonautograftanteriorcruciateligamentreconstruction:adoubleblindrandomizedcontrolledtrial,2018,Am J Sports Med,Walters+effectofintraoperativeplateletrichplasmatreatmentonpostoperativedonorsitekneepaininpatellartendonautograftanteriorcruciateligamentreconstruction:adoubleblindrandomizedcontrolledtrial+2018
10.1177/0363546518768768,"Sajovic M, Stropnik D, Skaza K.",Sajovic,Long-term Comparison of Semitendinosus and Gracilis Tendon Versus Patellar Tendon Autografts for Anterior Cruciate Ligament Reconstruction: A 17-Year Follow-up of a Randomized Controlled Trial,longtermcomparisonofsemitendinosusandgracilistendonversuspatellartendonautograftsforanteriorcruciateligamentreconstruction:a17yearfollowupofarandomizedcontrolledtrial,2018,Am J Sports Med,Sajovic+longtermcomparisonofsemitendinosusandgracilistendonversuspatellartendonautograftsforanteriorcruciateligamentreconstruction:a17yearfollowupofarandomizedcontrolledtrial+2018
10.1016/j.otsr.2016.08.011,"Bressy G, Brun V, Ferrier A, Dujardin D, Oubaya N, Morel N, Fontanin N, Ohl X.",Bressy,Lack of stability at more than 12 months of follow-up after anterior cruciate ligament reconstruction using all-inside quadruple-stranded semitendinosus graft with adjustable cortical button fixation in both femoral and tibial sides,lackofstabilityatmorethan12monthsoffollowupafteranteriorcruciateligamentreconstructionusingallinsidequadruplestrandedsemitendinosusgraftwithadjustablecorticalbuttonfixationinbothfemoralandtibialsides,2016,Orthop Traumatol Surg Res,Bressy+lackofstabilityatmorethan12monthsoffollowupafteranteriorcruciateligamentreconstructionusingallinsidequadruplestrandedsemitendinosusgraftwithadjustablecorticalbuttonfixationinbothfemoralandtibialsides+2016
10.1007/s00402-016-2548-z,"Mei X, Zhang Z, Yang J.",Mei,Double-layer versus single-layer bone-patellar tendon-bone anterior cruciate ligament reconstruction: a prospective randomized study with 3-year follow-up,doublelayerversussinglelayerbonepatellartendonboneanteriorcruciateligamentreconstruction:aprospectiverandomizedstudywith3yearfollowup,2016,Arch Orthop Trauma Surg,Mei+doublelayerversussinglelayerbonepatellartendonboneanteriorcruciateligamentreconstruction:aprospectiverandomizedstudywith3yearfollowup+2016
10.1007/s00590-016-1809-4,"Biswal UK, Balaji G, Nema S, Poduval M, Menon J, Patro DK.",Biswal,Correlation of tunnel widening and tunnel positioning with short-term functional outcomes in single-bundle anterior cruciate ligament reconstruction using patellar tendon versus hamstring graft: a prospective study,correlationoftunnelwideningandtunnelpositioningwithshorttermfunctionaloutcomesinsinglebundleanteriorcruciateligamentreconstructionusingpatellartendonversushamstringgraft:aprospectivestudy,2016,Eur J Orthop Surg Traumatol,Biswal+correlationoftunnelwideningandtunnelpositioningwithshorttermfunctionaloutcomesinsinglebundleanteriorcruciateligamentreconstructionusingpatellartendonversushamstringgraft:aprospectivestudy+2016
10.1007/s00167-016-4229-4,"Iliopoulos E, Galanis N, Zafeiridis A, Iosifidis M, Papadopoulos P, Potoupnis M, Geladas N, Vrabas IS, Kirkos J.",Iliopoulos,Anatomic single-bundle anterior cruciate ligament reconstruction improves walking economy: hamstrings tendon versus patellar tendon grafts,anatomicsinglebundleanteriorcruciateligamentreconstructionimproveswalkingeconomy:hamstringstendonversuspatellartendongrafts,2017,Knee Surg Sports Traumatol Arthrosc,Iliopoulos+anatomicsinglebundleanteriorcruciateligamentreconstructionimproveswalkingeconomy:hamstringstendonversuspatellartendongrafts+2017
10.1177/0363546516646378,"Björnsson H, Samuelsson K, Sundemo D, Desai N, Sernert N, Rostgård-Christensen L, Karlsson J, Kartus J.",Björnsson,A Randomized Controlled Trial With Mean 16-Year Follow-up Comparing Hamstring and Patellar Tendon Autografts in Anterior Cruciate Ligament Reconstruction,arandomizedcontrolledtrialwithmean16yearfollowupcomparinghamstringandpatellartendonautograftsinanteriorcruciateligamentreconstruction,2016,Am J Sports Med,Björnsson+arandomizedcontrolledtrialwithmean16yearfollowupcomparinghamstringandpatellartendonautograftsinanteriorcruciateligamentreconstruction+2016
10.1177/0363546516638387,"Akelman MR, Fadale PD, Hulstyn MJ, Shalvoy RM, Garcia A, Chin KE, Duryea J, Badger GJ, Tung GA, Fleming BC.",Akelman,Effect of Matching or Overconstraining Knee Laxity During Anterior Cruciate Ligament Reconstruction on Knee Osteoarthritis and Clinical Outcomes: A Randomized Controlled Trial With 84-Month Follow-up,effectofmatchingoroverconstrainingkneelaxityduringanteriorcruciateligamentreconstructiononkneeosteoarthritisandclinicaloutcomes:arandomizedcontrolledtrialwith84monthfollowup,2016,Am J Sports Med,Akelman+effectofmatchingoroverconstrainingkneelaxityduringanteriorcruciateligamentreconstructiononkneeosteoarthritisandclinicaloutcomes:arandomizedcontrolledtrialwith84monthfollowup+2016
10.1177/0363546515624471,"Sasaki S, Tsuda E, Hiraga Y, Yamamoto Y, Maeda S, Sasaki E, Ishibashi Y.",Sasaki,Prospective Randomized Study of Objective and Subjective Clinical Results Between Double-Bundle and Single-Bundle Anterior Cruciate Ligament Reconstruction,prospectiverandomizedstudyofobjectiveandsubjectiveclinicalresultsbetweendoublebundleandsinglebundleanteriorcruciateligamentreconstruction,2016,Am J Sports Med,Sasaki+prospectiverandomizedstudyofobjectiveandsubjectiveclinicalresultsbetweendoublebundleandsinglebundleanteriorcruciateligamentreconstruction+2016
10.1007/s00402-015-2386-4,"Konrads C, Reppenhagen S, Plumhoff P, Hoberg M, Rudert M, Barthel T.",Konrads,No significant difference in clinical outcome and knee stability between patellar tendon and semitendinosus tendon in anterior cruciate ligament reconstruction,nosignificantdifferenceinclinicaloutcomeandkneestabilitybetweenpatellartendonandsemitendinosustendoninanteriorcruciateligamentreconstruction,2016,Arch Orthop Trauma Surg,Konrads+nosignificantdifferenceinclinicaloutcomeandkneestabilitybetweenpatellartendonandsemitendinosustendoninanteriorcruciateligamentreconstruction+2016
10.1177/0363546515611886,"Webster KE, Feller JA, Hartnett N, Leigh WB, Richmond AK.",Webster,Comparison of Patellar Tendon and Hamstring Tendon Anterior Cruciate Ligament Reconstruction: A 15-Year Follow-up of a Randomized Controlled Trial,comparisonofpatellartendonandhamstringtendonanteriorcruciateligamentreconstruction:a15yearfollowupofarandomizedcontrolledtrial,2016,Am J Sports Med,Webster+comparisonofpatellartendonandhamstringtendonanteriorcruciateligamentreconstruction:a15yearfollowupofarandomizedcontrolledtrial+2016
