id,study_id,source,authors,first_author,Title,short_title,Publication Year,DOI,Journal/Book,title_abstract_screening,full-text_screening,reason_for_exclusion
,Lui P.P.Y. (2012),Embase,"Lui P.P.Y., Cheng Y.Y., Yung S.H., Hung A.S.L., Chan K.M.",Lui P.P.Y.,A randomized controlled trial comparing bone mineral density changes of three different ACL reconstruction techniques,A randomized controlled trial compa,2012,10.1016/j.knee.2012.02.005,Knee,,,
,Zaffagnini S. (2011),Embase,"Zaffagnini S., Bruni D., Marcheggiani Muccioli G.M., Bonanzinga T., Lopomo N., Bignozzi S., Marcacci M.",Zaffagnini S.,Single-bundle patellar tendon versus non-anatomical double-bundle hamstrings ACL reconstruction: A prospective randomized study at 8-year minimum follow-up,Single-bundle patellar tendon versu,2011,10.1007/s00167-010-1225-y,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Wipfler B. (2011),Embase,"Wipfler B., Donner S., Zechmann C.M., Springer J., Siebold R., Paessler H.H.",Wipfler B.,Anterior cruciate ligament reconstruction using patellar tendon versus hamstring tendon: A prospective comparative study with 9-year follow-up,Anterior cruciate ligament reconstr,2011,10.1016/j.arthro.2011.01.015,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Drogset J.O. (2011),Embase,"Drogset J.O., Straume L.G., BjÃ¸rkmo I., Myhr G.",Drogset J.O.,A prospective randomized study of ACL-reconstructions using bone-patellar tendon-bone grafts fixed with bioabsorbable or metal interference screws,A prospective randomized study of A,2011,10.1007/s00167-010-1353-4,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Drogset J.O. (2010),Embase,"Drogset J.O., Strand T., Uppheim G., Ã˜degÃ¥rd B., BÃ¸e A., GrÃ¸ntvedt T.",Drogset J.O.,Autologous patellar tendon and quadrupled hamstring grafts in anterior cruciate ligament reconstruction: A prospective randomized multicenter review of different fixation methods,Autologous patellar tendon and quad,2010,10.1007/s00167-009-0996-5,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Ghalayini S.R.A. (2010),Embase,"Ghalayini S.R.A., Helm A.T., Bonshahi A.Y., Lavender A., Johnson D.S., Smith R.B.",Ghalayini S.R.A.,Arthroscopic anterior cruciate ligament surgery: Results of autogenous patellar tendon graft versus the Leeds-Keio synthetic graft. Five year follow-up of a prospective randomised controlled trial,Arthroscopic anterior cruciate liga,2010,10.1016/j.knee.2009.09.008,Knee,,,
,Taylor D.C. (2009),Embase,"Taylor D.C., Deberardino T.M., Nelson B.J., Duffey M., Tenuta J., Stoneman P.D., Sturdivant R.X., Mountcastle S.",Taylor D.C.,Patellar tendon versus hamstring tendon autografts for anterior cruciate ligament reconstruction: A randomized controlled trial using similar femoral and tibial fixation Methods,Patellar tendon versus hamstring te,2009,10.1177/0363546509339577,American Journal of Sports Medicine,,,
,AhldÃ©n M. (2009),Embase,"AhldÃ©n M., Kartus J., Ejerhed L., Karlsson J., Sernert N.",AhldÃ©n M.,"Knee laxity measurements after anterior cruciate ligament reconstruction, using either bone-patellar-tendon-bone or hamstring tendon autografts, with special emphasis on comparison over time",Knee laxity measurements after ante,2009,10.1007/s00167-009-0846-5,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Laboute E. (2008),Embase,"Laboute E., Savalli L., Lefesvre T., Puig P., Trouve P.",Laboute E.,Interest of an iterative specialized rehabilitation after an anterior cruciate ligament reconstruction in high level sport athletes,Interest of an iterative specialize,2008,10.1016/j.rco.2008.01.008,Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur,,,
,Huang M.-H. (2007),Embase,"Huang M.-H., Yang R.-C., Chou P.-H.",Huang M.-H.,Preliminary effects of hyaluronic acid on early rehabilitation of patients with isolated anterior cruciate ligament reconstruction,Preliminary effects of hyaluronic a,2007,10.1097/JSM.0b013e31812570fa,Clinical Journal of Sport Medicine,,,
,LidÃ©n M. (2007),Embase,"LidÃ©n M., Ejerhed L., Sernert N., Laxdal G., Kartus J.",LidÃ©n M.,"Patellar tendon or semitendinosus tendon autografts for anterior cruciate ligament reconstruction: A prospective, randomized study with a 7-year follow-up",Patellar tendon or semitendinosus t,2007,10.1177/0363546506298275,American Journal of Sports Medicine,,,
,Heijne A. (2007),Embase,"Heijne A., Werner S.",Heijne A.,Early versus late start of open kinetic chain quadriceps exercises after ACL reconstruction with patellar tendon or hamstring grafts: A prospective randomized outcome study,Early versus late start of open kin,2007,10.1007/s00167-006-0246-z,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Maletis G.B. (2007),Embase,"Maletis G.B., Cameron S.L., Tengan J.J., Burchette R.J.",Maletis G.B.,A prospective randomized study of anterior cruciate ligament reconstruction: A comparison of patellar tendon and quadruple-strand semitendinosus/gracilis tendons fixed with bioabsorbable interference screws,A prospective randomized study of a,2007,10.1177/0363546506294361,American Journal of Sports Medicine,,,
,Sajovic M. (2006),Embase,"Sajovic M., Vengust V., Komadina R., Tavcar R., Skaza K.",Sajovic M.,"A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: Five-year follow-up","A prospective, randomized compariso",2006,10.1177/0363546506290726,American Journal of Sports Medicine,,,
,Gobbi A. (2006),Embase,"Gobbi A., Francisco R.",Gobbi A.,Factors affecting return to sports after anterior cruciate ligament reconstruction with patellar tendon and hamstring graft: A prospective clinical investigation,Factors affecting return to sports ,2006,10.1007/s00167-006-0050-9,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Halinen J. (2006),Embase,"Halinen J., Lindahl J., Hirvensalo E., Santavirta S.",Halinen J.,Operative and nonoperative treatments of medial collateral ligament rupture with early anterior cruciate ligament reconstruction: A prospective randomized study,Operative and nonoperative treatmen,2006,10.1177/0363546505284889,American Journal of Sports Medicine,,,
,Matsumoto A. (2006),Embase,"Matsumoto A., Yoshiya S., Muratsu H., Yagi M., Iwasaki Y., Kurosaka M., Kuroda R.",Matsumoto A.,A comparison of bone-patellar tendon-bone and bone-hamstring tendon-bone autografts for anterior cruciate ligament reconstruction,A comparison of bone-patellar tendo,2006,10.1177/0363546505279919,American Journal of Sports Medicine,,,
,Harilainen A. (2006),Embase,"Harilainen A., Sandelin J.",Harilainen A.,Post-operative use of knee brace in bone-tendon-bone patellar tendon anterior cruciate ligament reconstruction: 5-Year follow-up results of a randomized prospective study,Post-operative use of knee brace in,2006,10.1111/j.1600-0838.2004.00435.x,Scandinavian Journal of Medicine and Science in Sports,,,
,Giraud B. (2006),Embase,"Giraud B., Besse J.-L., CladiÃ¨re F., Ecochard R., Moyen B., Lerat J.-L.",Giraud B.,Intra-articular reconstruction of the anterior cruciate ligament with and without extra-articular supplementation by quadricipital tendon plasty: Seven-year follow-up,Intra-articular reconstruction of t,2006,10.1016/s0035-1040(06)75947-5,Revue de Chirurgie Orthopedique et Reparatrice de l'Appareil Moteur,,,
,Drogset J.O. (2005),Embase,"Drogset J.O., GrÃ¸ntvedt T., Tegnander A.",Drogset J.O.,Endoscopic reconstruction of the anterior cruciate ligament using bone-patellar tendon-bone grafts fixed with bioabsorbable or metal interference screws: A prospective randomized study of the clinical outcome,Endoscopic reconstruction of the an,2005,10.1177/0363546504272264,American Journal of Sports Medicine,,,
,Ibrahim S.A.-R. (2005),Embase,"Ibrahim S.A.-R., Al-Kussary I.M., Al-Misfer A.R.K., Al-Mutairi H.Q., Ghafar S.A., El Noor T.A.",Ibrahim S.A.-R.,Clinical evaluation of arthroscopically assisted anterior cruciate ligament reconstruction: Patellar tendon versus gracilis and semitendinosus autograft,Clinical evaluation of arthroscopic,2005,10.1016/j.arthro.2004.12.002,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Beynnon B.D. (2005),Embase,"Beynnon B.D., Uh B.S., Johnson R.J., Abate J.A., Nichols C.E., Fleming B.C., Poole A.R., Roos H.",Beynnon B.D.,"Rehabilitation after anterior cruciate ligament reconstruction: A prospective, randomized, double-blind comparison of programs administered over 2 different time intervals",Rehabilitation after anterior cruci,2005,10.1177/0363546504268406,American Journal of Sports Medicine,,,
,Kaeding C. (2005),Embase,"Kaeding C., Farr J., Kavanaugh T., Pedroza A.",Kaeding C.,A prospective randomized comparison of bioabsorbable and titanium anterior cruciate ligament interference screws,A prospective randomized comparison,2005,10.1016/j.arthro.2004.09.012,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Hill P.F. (2005),Embase,"Hill P.F., Russell V.J., Salmon L.J., Pinczewski L.A.",Hill P.F.,The influence of supplementary tibial fixation on laxity measurements after anterior cruciate ligament reconstruction with hamstring tendons in female patients,The influence of supplementary tibi,2005,10.1177/0363546504268036,American Journal of Sports Medicine,,,
,Laxdal G. (2005),Embase,"Laxdal G., Kartus J., Hansson L., Heidvall M., Ejerhed L., Karlsson J.",Laxdal G.,A prospective randomized comparison of bone-patellar tendon-bone and hamstring grafts for anterior cruciate ligament reconstruction,A prospective randomized comparison,2005,10.1016/j.arthro.2004.09.014,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Nicholas S.J. (2004),Embase,"Nicholas S.J., D'Amato M.J., Mullaney M.J., Tyler T.F., Kolstad K., McHugh M.P.",Nicholas S.J.,A prospectively randomized double-blind study on the effect of initial graft tension on knee stability after anterior cruciate ligament reconstruction,A prospectively randomized double-b,2004,10.1177/0363546504265924,American Journal of Sports Medicine,,,
,Mikkelsen C. (2003),Embase,"Mikkelsen C., Werner S., Cerulli G., Lorenzini M., Bergstrand G.",Mikkelsen C.,Can a post-operative brace in slight hyperextension prevent extension deficit after anterior cruciate ligament reconstruction? A pospective randomised study,Can a post-operative brace in sligh,2003,10.1007/s00167-003-0406-3,"Knee Surgery, Sports Traumatology, Arthroscopy",,,
,Muren O. (2003),Embase,"Muren O., Dahlstedt L., DalÃ©n N.",Muren O.,"Reconstruction of acute anterior cruciate ligament injuries: A prospetive, randomised study of 40 patients with 7-year follow-up. No advantage of synthetic augmentation compared to a traditional patellar tendon graft",Reconstruction of acute anterior cr,2003,10.1007/s00402-002-0457-9,Archives of Orthopaedic and Trauma Surgery,,,
,Drogset J.O. (2002),Embase,"Drogset J.O., GrÃ¸ntvedt T.",Drogset J.O.,Anterior cruciate ligament reconstruction with and without a ligament augmentation device: Results at 8-year follow-up,Anterior cruciate ligament reconstr,2002,10.1177/03635465020300061601,American Journal of Sports Medicine,,,
,Beynnon B.D. (2002),Embase,"Beynnon B.D., Johnson R.J., Fleming B.C., Kannus P., Kaplan M., Samani J., RenstroÌˆm P.",Beynnon B.D.,"Anterior cruciate ligament replacement: Comparison of bone-patellar tendon-bone grafts with two-strand hamstring grafts. A prospective, randomized study",Anterior cruciate ligament replacem,2002,10.2106/00004623-200209000-00001,Journal of Bone and Joint Surgery,,,
,Aune A.K. (2001),Embase,"Aune A.K., Holm I., Risberg M.A., Jensen H.K., Steen H.",Aune A.K.,Four-strand hamstring tendon autograft compared with patellar tendon-bone autograft for anterior cruciate ligament reconstruction: A randomized study with two-year follow-up,Four-strand hamstring tendon autogr,2001,10.1177/03635465010290060901,American Journal of Sports Medicine,,,
,Mariani P.P. (2001),Embase,"Mariani P.P., Camillieri G., Margheritini F.",Mariani P.P.,Transcondylar screw fixation in anterior cruciate ligament reconstruction,Transcondylar screw fixation in ant,2001,10.1053/jars.2001.25277,Arthroscopy,,,
,Anderson A.F. (2001),Embase,"Anderson A.F., Snyder R.B., Lipscomb Jr. A.B.",Anderson A.F.,Anterior cruciate ligament reconstruction. A prospective randomized study of three surgical methods,Anterior cruciate ligament reconstr,2001,10.1177/03635465010290030201,American Journal of Sports Medicine,,,
,McGuire D.A. (1999),Embase,"McGuire D.A., Barber F.A., Elrod B.F., Paulos L.E.",McGuire D.A.,Bioabsorbable interference screws for graft fixation in anterior cruciate ligament reconstruction,Bioabsorbable interference screws f,1999,10.1053/ar.1999.v15.015046001,Arthroscopy,,,
,Sonnery-Cottet B. (2026),Embase,"Sonnery-Cottet B., Carrozzo A., Poilvache H., Fayard J.-M., Freychet B., Thaunat M., Vieira T.D., Saithna A.",Sonnery-Cottet B.,Anterior cruciate ligament reconstruction combined with anterolateral ligament reconstruction using hamstring autograft versus anterior cruciate ligament reconstruction using boneâ€“patellar tendonâ€“bone autograft: a randomised controlled trial with 5-year follow-up,Anterior cruciate ligament reconstr,2026,10.1016/j.lanepe.2025.101561,The Lancet Regional Health - Europe,,,
,Lawless A.M. (2026),Embase,"Lawless A.M., Ebert J.R., Edwards P.K., Malik S.S., Davies P.S.E., D'Alessandro P.A.",Lawless A.M.,A semitendinosus with adjustable button graft construct in patients undergoing hamstring ACL reconstruction results in improved knee flexor strength symmetry and less donor site pain and morbidity: Outcomes from the DOSTAR randomized controlled trial,A semitendinosus with adjustable bu,2026,10.1002/ksa.12698,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,Butt U. (2025),Embase,"Butt U., Vuletic F., Shaikh M.A.A., Amanullah, Rehman G.U., Shah I.A., StÃ¥lman A., Khan Z.A.",Butt U.,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,5-years outcomes following arthrosc,2025,10.1007/s00402-024-05639-1,Archives of Orthopaedic and Trauma Surgery,,,
,Kentel M. (2025),Embase,"Kentel M., Krupa S., Reichert P., Korolczuk K., Kentel M., Kentel K., Daszkiewicz M.",Kentel M.,"Prospective, randomized study comparing clinical outcomes when reconstructing ACL with either semitendinosus autograft or the Jewel synthetic standalone device in two separate patient cohorts","Prospective, randomized study compa",2025,10.1016/j.knee.2025.07.024,Knee,,,
,Cao X. (2025),Embase,"Cao X., Liu J., Zhao J., Feng S., Zhao Z.",Cao X.,Evaluation of the Application of BOth Sides Up Ball Training Combined With Resistance Training in Joint Stability Improvement Following Anterior Cruciate Ligament Reconstruction Surgery in Teenage Athletes,Evaluation of the Application of BO,2025,10.1123/jsr.2024-0160,Journal of sport rehabilitation,,,
,Calvert N.D. (2025),Embase,"Calvert N.D., Ebert J.R., Radic R.",Calvert N.D.,Kneeling tolerance when using quadriceps tendon autograft for anterior cruciate ligament reconstruction is superior to hamstring tendon autograft,Kneeling tolerance when using quadr,2025,10.1002/ksa.12583,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,Mo I.F. (2025),Embase,"Mo I.F., Harlem T., Faleide A.G.H., Strand T., Vindfeld S., Solheim E., Randsborg P.H., Inderhaug E.",Mo I.F.,"Comparable Mid- to Long-term Outcomes of Semitendinosus and Semitendinosus/Gracilis Grafts in ACL Reconstruction: Median 8-Year (Range, 5-10 Years) Results From a Randomized Controlled Study",Comparable Mid- to Long-term Outcom,2025,10.1177/03635465251344106,The American journal of sports medicine,,,
,Ramakanth R. (2025),Embase,"Ramakanth R., Sundararajan S.R., Sujith B.S.G., D'Souza T., Arumugam P., Rajasekaran S.",Ramakanth R.,"Medial Collateral Ligament Repair, Isolated Suture-Tape-Bracing and No Repair for Grade III Medial Collateral Ligament Tears During Anterior Cruciate Ligament Reconstruction Have Similar Outcome for Combined Anterior Cruciate Ligament With Medial Collateral Ligament Injury: A 3-Arm Randomized Controlled Trial","Medial Collateral Ligament Repair, ",2025,10.1016/j.arthro.2024.09.023,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Yang X. (2025),Embase,"Yang X., Li Y., He C., Jin T., Huang Y.",Yang X.,Early versus delayed start of weight-bearing after arthroscopic anterior cruciate ligament reconstruction with hamstring tendons,Early versus delayed start of weigh,2025,10.23736/S0022-4707.24.16134-8,The Journal of sports medicine and physical fitness,,,
,Lucidi G.A. (2025),Embase,"Lucidi G.A., Agostinone P., Di Paolo S., Dal Fabbro G., Serra M., Viotto M., Grassi A., Zaffagnini S.",Lucidi G.A.,Long-term Outcomes After Anterior Cruciate Ligament Reconstruction With 3 Different Surgical Techniques: A Prospective Randomized Clinical and Radiographic Evaluation at a Minimum of 20 Yearsâ€™ Follow-up,Long-term Outcomes After Anterior C,2025,10.1177/23259671241302348,Orthopaedic Journal of Sports Medicine,,,
,Elazab A.M.A. (2025),Embase,"Elazab A.M.A., Reda W., Soliman A.E.M.E., Gad A.M.",Elazab A.M.A.,Clinical and functional comparison of boneâ€“patellar tendonâ€“bone and hamstring tendon autografts in anterior cruciate ligament reconstruction: A randomized controlled trial,Clinical and functional comparison ,2025,10.1016/j.apunsm.2025.100507,Apunts Sports Medicine,,,
,Popovic M. (2024),Embase,"Popovic M., Myhre J.R., Holen J.I.H., Gifstad T., Strand I.L., Strand T., Mo I.F., Fischer-Bredenbeck C., Drogset J.O.",Popovic M.,Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon,Reduced Knee Flexion Strength 18 Ye,2024,10.1177/03635465241271524,The American journal of sports medicine,,,
,Mo I.F. (2024),Embase,"Mo I.F., Harlem T., Faleide A.G.H., Strand T., Vindfeld S., Solheim E., Inderhaug E.",Mo I.F.,ACL Reconstruction Using Quadrupled Semitendinosus Versus Double-Stranded Semitendinosus and Gracilis Autograft: 2-Year Results From a Prospective Randomized Controlled Study,ACL Reconstruction Using Quadrupled,2024,10.1177/03635465241254048,The American journal of sports medicine,,,
,Yu H. (2024),Embase,"Yu H., Dong Z., Shi Z., Li L., Dong K., Liu H., Li Y.",Yu H.,Early effectiveness of local injection of multimodal drug cocktail during anterior cruciate ligament reconstruction and its influence on cartilage,Early effectiveness of local inject,2024,10.7507/1002-1892.202402054,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,,,
,Ebert J.R. (2024),Embase,"Ebert J.R., Calvert N.D., Radic R.",Ebert J.R.,A Prospective Randomized Controlled Trial Investigating Quadriceps Versus Hamstring Tendon Autograft in Anterior Cruciate Ligament Reconstruction,A Prospective Randomized Controlled,2024,10.1177/03635465231222279,The American journal of sports medicine,,,
,Rezansoff A. (2024),Embase,"Rezansoff A., Firth A.D., Bryant D.M., Litchfield R., Getgood A.M.J., Bryant D.M., Litchfield R., Getgood A.M.J., Bryant D.M., McCormack R.G., McCormack R.G., Heard M., MacDonald P.B., MacDonald P.B., Spalding T., Verdonk P.C.M., Verdonk P.C.M., Bardana D., Peterson D., Bardana D., Getgood A.M.J., Bryant D.M., Litchfield R., Willits K., Birmingham T., Hewison C., Firth A.D., Pinto R., Martindale A., O'Neill L., Jennings M., Daniluk M., McCormack R.G., Boyer D., Zomar M., Buchko G.M., Hiemstra L.A., Kerslake S., Tynedal J., MacDonald P.B., Stranges G., McRae S., Brown H., Rezansoff A., Mohtadi N., Chan D., Garven A., Peterson D., Simunovic N., Duong A., Skelly M., Shanmugaraj A., Bardana D., Howells F., Spalding T., Thompson P., Metcalfe A., Verdonk P.C.M., Declerq G.",Rezansoff A.,Anterior Cruciate Ligament Reconstruction Plus Lateral Extra-articular Tenodesis Has a Similar Return-to-Sport Rate to Anterior Cruciate Ligament Reconstruction Alone but a Lower Failure Rate,Anterior Cruciate Ligament Reconstr,2024,10.1016/j.arthro.2023.05.019,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Tang N. (2024),Embase,"Tang N., Eren M., Gurpinar T., Ozturkmen Y.",Tang N.,A prospective randomized controlled study of hamstring and bone-free quadriceps tendons autografts in arthroscopic ACL reconstruction,A prospective randomized controlled,2024,10.1007/s00590-023-03636-5,European Journal of Orthopaedic Surgery and Traumatology,,,
,Zarzycki R. (2024),Embase,"Zarzycki R., Cummer K., Arhos E., Failla M., Capin J.J., Smith A.H., Snyder-Mackler L.",Zarzycki R.,Female Athletes With Better Psychological Readiness Are at Higher Risk for Second ACL Injury After Primary ACL Reconstruction,Female Athletes With Better Psychol,2024,10.1177/19417381231155120,Sports health,,,
,Ma W. (2023),Embase,"Ma W., Yang Y., Ha X.",Ma W.,Two-stage ligament reconstruction with remnant preservation as treatment of knee dislocation,Two-stage ligament reconstruction w,2023,10.1186/s12893-023-02271-5,BMC surgery,,,
,Chen J. (2023),Embase,"Chen J., Wu T., Guo Y.",Chen J.,"Nordic hamstring exercises in functional knee rehabilitation after anterior cruciate ligament reconstruction: a prospective, randomised, controlled study",Nordic hamstring exercises in funct,2023,10.1038/s41598-023-45817-6,Scientific reports,,,
,Anz A.W. (2023),Embase,"Anz A.W., Jordan S.E., Ostrander R.V., Branch E.A., Denney T.S., Cohen A., Andrews J.R.",Anz A.W.,Augmentation of ACL Autograft Reconstruction With an Amnion Collagen Matrix Wrap and Bone Marrow Aspirate Concentrate: A Pilot Randomized Controlled Trial With 2-Year Follow-up,Augmentation of ACL Autograft Recon,2023,10.1177/23259671231210035,Orthopaedic Journal of Sports Medicine,,,
,Mousavi S.H. (2023),Embase,"Mousavi S.H., Radi M., Kazemi D., Izadpanah F., Shahrouzian A.",Mousavi S.H.,Evaluation the results of anterior cruciate ligament reconstruction with or without using antibiotic solution during graft preparation,Evaluation the results of anterior ,2023,10.1007/s00590-023-03522-0,European Journal of Orthopaedic Surgery and Traumatology,,,
,Heard M. (2023),Embase,"Heard M., Marmura H., Bryant D., Litchfield R., McCormack R., MacDonald P., Spalding T., Verdonk P., Peterson D., Bardana D., Rezansoff A., Getgood A.",Heard M.,No increase in adverse events with lateral extra-articular tenodesis augmentation of anterior cruciate ligament reconstruction â€“ Results from the stability randomized trial,No increase in adverse events with ,2023,10.1016/j.jisako.2022.12.001,Journal of ISAKOS,,,
,El-Azab H. (2023),Embase,"El-Azab H., Moursy M., Mohamed M.A., Elsayed M.",El-Azab H.,A comparison of the outcomes of anterior curciate ligament reconstruction with large-size graft versus reconstruction with average-size graft combined with extraarticular tenodesis,A comparison of the outcomes of ant,2023,10.1016/j.injury.2023.01.033,Injury,,,
,KuliÅ„ski K. (2023),Embase,"KuliÅ„ski K., WaÅ›ko M.K., TramÅ› E., Malesa K., Pomianowski S., KamiÅ„ski R.",KuliÅ„ski K.,"Anterior Cruciate Ligament Reconstruction Using a 4-Strand Semitendinosus Tendon Graft or a Doubled Semitendinosus and Gracilis Tendon Graft: A 4.5-Year Prospective, Randomized, Double-Blind, Parallel-Group Study",Anterior Cruciate Ligament Reconstr,2023,10.1177/03635465221149738,The American journal of sports medicine,,,
,Sonnier J.H. (2023),Embase,"Sonnier J.H., Paul R.W., Sando H.E., Hall A.T., Tjoumakaris F.P., Cohen S.B., Freedman K.B.",Sonnier J.H.,Patient Decision Making in Anterior Cruciate Ligament Reconstruction: A Discrete Choice Experiment Examining Graft Preference,Patient Decision Making in Anterior,2023,10.1177/23259671221144983,Orthopaedic Journal of Sports Medicine,,,
,Beaudoin A. (2022),Embase,"Beaudoin A., Ogborn D., McRae S., Larose G., Brown H., McCormack R., MacDonald P.",Beaudoin A.,No differences found in long-term outcomes of a randomized controlled trial comparing ipsilateral versus contralateral hamstring graft in ACL reconstruction,No differences found in long-term o,2022,10.1007/s00167-022-06980-x,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,,
,Vieira de Melo R.F. (2022),Embase,"Vieira de Melo R.F., Komatsu W.R., Freitas M.S., Vieira de Melo M.E., Cohen M.",Vieira de Melo R.F.,Comparison of Quadriceps and Hamstring Muscle Strength after Exercises with and without Blood Flow Restriction following Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial,Comparison of Quadriceps and Hamstr,2022,10.2340/jrm.v54.2550,Journal of rehabilitation medicine,,,
,Cruz C.A. (2022),Embase,"Cruz C.A., Mannino B.J., Pike A., Thoma D., Lindell K., Kerbel Y.E., McCadden A., Lopez A.J., Bottoni C.R.",Cruz C.A.,Increased posterior tibial slope is an independent risk factor of anterior cruciate ligament reconstruction graft rupture irrespective of graft choice,Increased posterior tibial slope is,2022,10.1016/j.jisako.2022.04.002,Journal of ISAKOS,,,
,Glasbrenner J. (2022),Embase,"Glasbrenner J., Raschke M.J., Kittl C., Herbst E., Peez C., Briese T., Michel P.A., Herbort M., KÃ¶sters C., Schliemann B.",Glasbrenner J.,Comparable Instrumented Knee Joint Laxity and Patient-Reported Outcomes After ACL Repair With Dynamic Intraligamentary Stabilization or ACL Reconstruction: 5-Year Results of a Randomized Controlled Trial,Comparable Instrumented Knee Joint ,2022,10.1177/03635465221117777,The American journal of sports medicine,,,
,Horstmann H. (2022),Embase,"Horstmann H., Petri M., Tegtbur U., Felmet G., Krettek C., Jagodzinski M.",Horstmann H.,"Quadriceps and hamstring tendon autografts in ACL reconstruction yield comparably good results in a prospective, randomized controlled trial",Quadriceps and hamstring tendon aut,2022,10.1007/s00402-021-03862-8,Archives of Orthopaedic and Trauma Surgery,,,
,Sanborn R.M. (2022),Embase,"Sanborn R.M., Badger G.J., Yen Y.-M., Murray M.M., Christino M.A., Proffen B., Sant N., Barnett S., Fleming B.C., Kramer D.E., Micheli L.J.",Sanborn R.M.,Psychological Readiness to Return to Sport at 6 Months Is Higher After Bridge-Enhanced ACL Restoration Than Autograft ACL Reconstruction: Results of a Prospective Randomized Clinical Trial,Psychological Readiness to Return t,2022,10.1177/23259671211070542,Orthopaedic Journal of Sports Medicine,,,
,Sohu D.M. (2022),Embase,"Sohu D.M., Hussain F., Jatoi Z.A., Bhatti S.H., Chandio M.S., Keerio N.H.",Sohu D.M.,Determining Early Morbidity After The Reconstruction Of Anterior Cruciate Ligament: Hamstring Tendon Vs Patellar Tendon Autograft,Determining Early Morbidity After T,2022,10.47750/pnr.2022.13.S09.1056,Journal of Pharmaceutical Negative Results,,,
,Sole G. (2021),Embase,"Sole G., Lamb P., Pataky T., Klima S., Navarre P., Hammer N.",Sole G.,Immediate and 6-week effects of wearing a knee sleeve following anterior cruciate ligament reconstruction: a cross-over laboratory and randomised clinical trial,Immediate and 6-week effects of wea,2021,10.1186/s12891-021-04540-x,BMC Musculoskeletal Disorders,,,
,Kulshrestha V. (2021),Embase,"Kulshrestha V., Sood M., Kumar S., Kawale A.",Kulshrestha V.,Original study: early patient-reported functional outcome of all-inside ACL reconstruction as compared to anteromedial portal technique,Original study: early patient-repor,2021,10.1007/s00590-021-02912-6,European Journal of Orthopaedic Surgery and Traumatology,,,
,Marmura H. (2021),Embase,"Marmura H., Getgood A.M.J., Spindler K.P., Kattan M.W., Briskin I., Bryant D.M.",Marmura H.,Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction,Validation of a Risk Calculator to ,2021,10.1177/03635465211010798,The American journal of sports medicine,,,
,Krishna L. (2021),Embase,"Krishna L., Chan C.X., Lokaiah L., Chinnasamy D., Goyal S., Wang M., Singh A.",Krishna L.,Five-Strand Versus Four-Strand Hamstring Autografts in Anterior Cruciate Ligament Reconstructionâ€”A Prospective Randomized Controlled Study,Five-Strand Versus Four-Strand Hams,2021,10.1016/j.arthro.2020.08.012,Arthroscopy - Journal of Arthroscopic and Related Surgery,,,
,Guglielmetti L.G.B. (2021),Embase,"Guglielmetti L.G.B., Salas V.E.R., Jorge P.B., Severino F.R., Duarte A., de Oliveira V.M., Cury R.D.P.L.",Guglielmetti L.G.B.,Prospective and Randomized Clinical Evaluation of Hamstring Versus Patellar Tendon Autograft for Anterior Cruciate Ligament Reconstruction in Soccer Players,Prospective and Randomized Clinical,2021,10.1177/23259671211028168,Orthopaedic Journal of Sports Medicine,,,
,Erden T. (2021),Embase,"Erden T., Toker B., Toprak A., TaÅŸer Ã–.",Erden T.,Comparison of the outcomes of isolated anterior cruciate ligament reconstruction and combined anterolateral ligament suture tape augmentation and anterior cruciate ligament reconstruction,Comparison of the outcomes of isola,2021,10.5606/ehc.2020.78201,Joint diseases and related surgery,,,
